,Unnamed: 0,Name,Competitive Status,Date of death,Nationality,Race death,Date of birth,Age,Year points,Career points,Career wins,Career race days,Year wins,Team level
77,73,Desiet Kidane,Road cyclist,2021-11-08,Eritrea,0.0,2000-10-10,21.0,0,71,1,38,0,CTW
78,74,Estela Domínguez,Road cyclist and cyclocross rider,2023-02-09,Spain,0.0,,,,,,,,
79,75,Germán Chaves,Road cyclist,2023-06-03,Colombia,0.0,,,,,,,,
80,76,Tijl De Decker,Road cyclist,2023-08-25,Belgium,0.0,2001-07-29,22.0,58,135,1,68,1,CT
81,77,Gabriele Glodenyte,,,,,,,,,,,,
82,78,Clément Ouimet,,2017-10-04,Canada,,1999-03-02,18.0,5,5,-,6,0,
83,79,John Cornish,,2011-06-22,Australia,,1980-11-29,30.0,0,0,-,15,0,CT
84,80,Kelly Catlin,,2019-03-08,United ,,1995-11-03,23.0,,82,1,33,0,UCI
85,81,Lieuwe Westra,,2023-01-14,Netherlands,,1982-09-11,40.0,239,3026,13,701,1,WT
86,82,Raul Garcia Alvarez,,,,,,,,,,,,
87,83,Michael Antonelli,,2020-12-03,San ,,1999-11-30,21.0,0,29,-,16,0,
88,85,Vicente López Carril,,1980-03-29,Spain,,1942-12-02,37.0,147,8453,30,526,0,
89,86,Marc Demeyer,,1982-01-20,Belgium,,1950-04-19,31.0,,7860,33,434,0,
90,87,Bert Oosterbosch,,1989-08-18,Netherlands,,1957-07-30,32.0,,4656,38,229,0,TT1
91,88,Joachim Halupczok,,1994-02-05,Poland,,1968-06-03,25.0,126,654,2,56,0,
92,89,Stive Vermaut,,2004-06-30,Belgium,,1975-10-22,28.0,40,353,-,250,0,TT2
93,90,Rob Goris,,2012-07-05,Belgium,,1982-03-15,30.0,0,17,-,127,0,PCT
94,91,Niels De Vriendt,,2020-07-04,Belgium,,1999-07-30,20.0,0,1,-,16,0,
95,93,Rab Wardell,,,,,,,,,,,,
96,94,Jacopo Venzo,,2023-07-22,Italy,,2006-06-29,17.0,1,1,-,5,0,
97,95,Magnus White,,2023-07-30,United ,,2005-11-18,17.0,0,0,-,1,0,
98,96,Chris Anker Sørensen,,,,,,,,,,,,
99,97,Connor Lambert,,2023-07-12,Ireland,,1998-03-16,25.0,0,6,-,34,0,CT
100,98,Ethan Boyes,,,,,,,,,,,,
101,99,Arturo Gravalos,,,,,,,,,,,,
102,100,Moriah Wilson,,,,,,,,,,,,
103,101,Davide Rebellin,,2022-11-30,Italy,,1971-08-09,51.0,14,27332,62,1604,0,CT
104,102,Juan Manuel Santisteban,,1976-05-21,Spain,,1944-10-25,31.0,130,1309,13,128,1,
105,103,Jean-Pierre Monseré,,1971-03-15,Belgium,,1948-09-08,22.0,232,1787,9,55,3,
106,104,Tom Simpson,,1967-07-13,Great ,,1937-11-30,29.0,746,6777,16,254,5,
107,105,Richard Depoorter,,1948-06-16,Belgium,,1915-04-29,33.0,162,1412,3,32,0,
108,106,Stan Ockers,,1956-10-01,Belgium,,1920-02-03,36.0,2233,13522,24,313,9,
109,107,Francisco Cepeda,,1935-07-14,Spain,,1906-03-08,29.0,181,732,3,76,0,
110,108,Ottavio Bottecchia,,1927-06-15,Italy,,1894-08-01,32.0,517,5192,14,86,1,
