,Date,Joaquim Agostinho,Connie Meijer,Fabio Casartelli,Manuel Sanroma,Saúl Morales,Nicole Reinhart,Andrey Kivilev,Alessio Galletti,Isaac Gálvez,Bruno Neves,Wouter Weylandt,Junior Heffernan,Annefleur Kalvenhaar,Antoine Demoitié,Daan Myngheer,Gijs Verdick,Bahman Golbarnezhad,Mike Hall (cyclist),Michael Goolaerts,Robbert de Greef,Bjorg Lambrecht,Suleiman Kangangi,Gino Mäder,Antonio Martín,Néstor Mora,Hernán Patiño,Ricardo Otxoa,Lauri Aus,Amy Gillett,Frederiek Nolf,Zinaida Stahurskaya,Jure Robič,Carla Swart,Carly Hibberd,Víctor Cabedo,Iñaki Lejarreta,Burry Stander,Amy Dombroski,Kristof Goddaert,Kelly McGarry,Michele Scarponi,Jason Lowndes,Desiet Kidane,Marc Demeyer,Bert Oosterbosch,Stive Vermaut,Rob Goris,Joachim Halupczok,Vicente López Carril,Lieuwe Westra,Kelly Catlin,Chris Anker Sørensen,Davide Rebellin,Patricia Pepper,Adrián Babič,Germán Chaves,Tijl De Decker,Ethan Boyes,Arturo Grávalos,Tom Simpson,Juan Manuel Santisteban,Jean-Pierre Monseré,Stan Ockers,Richard Depoorter,Francisco Cepeda (cyclist),Ottavio Bottecchia
13,2008-01-14,8,0,45,3,4,21,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,12,23,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,8,,,,,,,69,0,8,6,0,0,13
14,2008-01-15,0,0,52,0,0,0,0,0,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,,,,,,,100,0,0,0,0,0,0
15,2008-01-16,15,0,60,5,6,36,0,0,42,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,6,15,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,2,19,,,,,,,83,0,5,13,0,0,18
16,2008-01-17,0,0,52,0,0,0,0,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,,,,,82,0,0,0,0,0,0
17,2008-01-18,16,0,66,4,3,33,0,0,33,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,10,21,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,3,10,,,,,,,90,0,7,12,0,0,33
18,2008-01-19,0,0,41,0,0,0,0,0,30,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,68,0,0,0,0,0,0
19,2008-01-20,15,0,61,3,4,32,0,0,33,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,9,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,4,13,,,,,,,87,0,5,9,0,0,35
20,2008-01-21,0,0,60,0,0,0,0,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,91,0,0,0,0,0,0
21,2008-01-22,13,0,60,5,9,38,0,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,10,13,0,0,7,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,15,,,,,,,55,0,4,10,0,0,14
22,2008-01-23,0,0,90,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,77,0,0,0,0,0,0
23,2008-01-24,18,0,82,7,5,35,0,0,19,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,7,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,,,,,,,72,0,8,7,0,0,23
24,2008-01-25,0,0,61,0,0,0,0,0,29,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,81,0,0,0,0,0,0
25,2008-01-26,11,0,50,3,5,27,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,19,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,3,6,,,,,,,64,0,3,4,0,0,8
26,2008-01-27,0,0,56,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,79,0,0,0,0,0,0
27,2008-01-28,15,0,48,5,6,31,0,1,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,10,16,0,0,8,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,3,8,,,,,,,101,0,4,10,0,0,19
28,2008-01-29,0,0,32,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,102,0,0,0,0,0,0
29,2008-01-30,12,0,46,2,2,37,1,0,18,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,13,18,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,2,5,,,,,,,71,0,5,10,0,0,17
30,2008-01-31,0,0,47,0,0,0,0,0,27,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,,,,,,,76,0,0,0,0,0,0
31,2008-02-01,13,0,34,5,5,37,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,11,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,2,14,,,,,,,67,0,6,13,0,0,31
32,2008-02-02,0,0,39,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,73,0,0,0,0,0,0
33,2008-02-03,17,0,47,0,2,29,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,12,25,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,4,8,,,,,,,68,0,7,14,0,0,29
34,2008-02-04,0,0,42,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,71,0,0,0,0,0,0
35,2008-02-05,18,0,148,9,6,29,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,15,20,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,11,,,,,,,102,0,5,11,0,0,46
36,2008-02-06,0,0,100,0,0,0,0,0,23,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,,,,,,,90,0,0,0,0,0,0
37,2008-02-07,17,0,42,3,3,20,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,3,14,,,,,,,89,0,5,7,0,0,31
38,2008-02-08,0,0,45,0,0,0,0,0,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,89,0,0,0,0,0,0
39,2008-02-09,16,0,76,6,8,33,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,6,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,3,13,,,,,,,67,0,6,12,0,0,19
40,2008-02-10,0,0,44,0,0,0,0,0,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,71,0,0,0,0,0,0
41,2008-02-11,19,0,107,7,7,24,0,0,32,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,6,13,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,16,,,,,,,73,0,8,12,0,0,25
42,2008-02-12,0,0,63,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,88,0,0,0,0,0,0
43,2008-02-13,18,0,73,6,8,18,0,0,26,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,12,,,,,,,134,0,9,8,0,0,30
44,2008-02-14,0,0,43,0,0,0,0,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,85,0,0,0,0,0,0
45,2008-02-15,16,0,37,4,4,49,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,9,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,3,8,,,,,,,76,0,8,14,0,0,15
46,2008-02-16,0,0,40,0,0,0,0,0,21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,,,,,,66,0,0,0,0,0,0
47,2008-02-17,18,0,50,4,5,33,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,15,16,0,0,14,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,5,,,,,,,78,0,5,12,0,0,19
48,2008-02-18,0,0,46,0,0,0,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,83,0,0,0,0,0,0
49,2008-02-19,13,0,58,6,6,27,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,6,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,17,,,,,,,100,0,6,6,0,0,15
50,2008-02-20,0,0,70,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,,,,,,,99,0,0,0,0,0,0
51,2008-02-21,13,0,62,3,6,39,1,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,7,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,16,,,,,,,73,0,5,14,0,0,19
52,2008-02-22,0,0,47,0,0,0,0,0,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,84,0,0,0,0,0,0
53,2008-02-23,28,0,38,3,3,24,0,1,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,9,17,0,1,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,3,8,,,,,,,82,0,9,9,0,0,13
54,2008-02-24,0,0,65,0,0,0,0,0,27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,,,,,,,87,0,0,0,0,0,0
55,2008-02-25,71,0,61,2,2,31,0,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,6,14,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,2,27,,,,,,,120,0,3,9,0,0,21
56,2008-02-26,0,0,50,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,,,,,,,122,0,0,0,0,0,0
57,2008-02-27,33,0,50,3,2,27,0,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8,14,0,0,13,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,2,0,0,4,27,,,,,,,89,0,9,9,0,0,19
58,2008-02-28,0,0,34,0,0,0,0,0,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,,,,,,,93,0,0,0,0,0,0
59,2008-02-29,15,0,47,4,5,26,0,0,21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,7,14,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,31,,,,,,,84,0,4,9,0,0,23
60,2008-03-01,0,0,39,0,0,0,0,0,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,,,,,,,67,0,0,0,0,0,0
61,2008-03-02,19,0,42,1,1,30,0,0,21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,6,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,25,,,,,,,95,0,4,9,0,0,14
62,2008-03-03,0,0,22,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,,,,55,0,0,0,0,0,0
63,2008-03-04,12,0,20,4,5,38,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,8,18,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,5,,,,,,,44,0,10,9,0,0,22
64,2008-03-05,0,0,45,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,110,0,0,0,0,0,0
65,2008-03-06,11,0,60,3,4,20,0,1,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,11,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,6,12,,,,,,,96,0,5,4,0,0,17
66,2008-03-07,0,0,37,0,0,0,0,0,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,,,,,,,95,0,0,0,0,0,0
67,2008-03-08,16,0,33,10,10,38,0,0,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,11,14,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,6,26,,,,,,,77,0,15,9,0,0,13
68,2008-03-09,0,0,47,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,,,,,,,102,0,0,0,0,0,0
69,2008-03-10,23,0,57,5,5,26,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,12,15,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,5,22,,,,,,,124,0,4,12,0,0,27
70,2008-03-11,0,0,42,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,,,,,,,121,0,0,0,0,0,0
71,2008-03-12,16,0,47,3,2,37,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,6,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,4,41,,,,,,,116,0,4,11,0,0,23
72,2008-03-13,0,0,39,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,,,,,,,145,0,0,0,0,0,0
73,2008-03-14,19,0,35,4,6,24,0,1,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,7,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,28,,,,,,,104,0,9,11,0,0,20
74,2008-03-15,0,0,52,0,0,0,0,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,,,,,,,57,0,0,0,0,0,0
75,2008-03-16,17,0,40,3,6,33,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,23,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,2,173,,,,,,,100,0,7,7,0,0,16
76,2008-03-17,0,0,71,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,,,,,,,94,0,0,0,0,0,0
77,2008-03-18,22,0,32,8,3,34,0,0,16,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,2,45,,,,,,,97,0,4,3,0,0,8
78,2008-03-19,0,0,55,0,0,0,0,0,21,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,,,,,,,101,0,0,0,0,0,0
79,2008-03-20,23,0,41,2,4,32,1,0,14,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,8,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,4,20,,,,,,,70,0,6,12,0,0,13
80,2008-03-21,0,0,52,0,0,0,0,0,36,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,,,,,,,90,0,0,0,0,0,0
81,2008-03-22,18,0,61,3,4,16,1,0,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,9,14,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,2,30,,,,,,,67,0,4,8,0,0,19
82,2008-03-23,0,0,35,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,,,,,,,69,0,0,0,0,0,0
83,2008-03-24,29,0,44,10,7,50,1,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,9,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,38,,,,,,,99,0,11,10,0,0,22
84,2008-03-25,0,0,59,0,0,0,0,0,23,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,,,,,,,123,0,0,0,0,0,0
85,2008-03-26,16,0,41,9,9,52,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,3,23,,,,,,,98,0,7,14,0,0,18
86,2008-03-27,0,0,59,0,0,0,0,0,29,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,,,,,,,115,0,0,0,0,0,0
87,2008-03-28,23,0,58,11,12,39,1,0,35,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,10,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,17,,,,,,,106,0,16,16,0,0,18
88,2008-03-29,0,0,61,0,0,0,0,0,37,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,,,,,,,90,0,0,0,0,0,0
89,2008-03-30,16,0,40,8,5,22,0,0,27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,8,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,3,16,,,,,,,102,0,6,9,0,0,19
90,2008-03-31,0,0,48,0,0,0,0,0,34,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,,,,,,,107,0,0,0,0,0,0
91,2008-04-01,19,0,41,5,3,32,1,0,18,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,6,14,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,10,,,,,,,123,0,6,10,0,0,16
92,2008-04-02,0,0,48,0,0,0,0,0,25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,105,0,0,0,0,0,0
93,2008-04-03,11,0,53,5,4,25,1,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,4,14,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,10,11,,,,,,,101,0,5,6,0,0,20
