index,content,arguments,positioning
31,"tendency to pro acceptable, personal decision","3 pro, 3 con",end: rather acceptable
32,"tendency to pro acceptable, consider circumstances","3 pro, 2 con",beginning: no difference
33,pro acceptable,"5 pro, 1 con",middle: no difference
34,"pro acceptable, if well informed","3 pro, 1 con",end: no difference
35,"pro acceptable, if responsible used and healthcase consultation","2 pro, 0 con",beginning: no difference
36,"pro acceptable, make informed choice","3 pro, 0 con",middle: no difference
37,"pro acceptable, personal decision","3 pro, 0 con",end: no difference
38,pro acceptable,"2 pro, 0 con",beginning: no difference
39,pro acceptable,"2 pro, 0 con",middle: no difference
40,pro acceptable,"3 pro, 0 con",end: no difference
41,"no opinion, personal decision, consult healthcare or religion","0 pro, 0 con",beginning: no difference
42,"no opinion, AI, personal choice","0 pro, 0 con",middle: no difference
43,no opinion,"0 pro, 0 con",end: no difference
44,"no clear opinion, both sides, agree to respectful understanding for personal decisions","2 pro, 3 con",beginning: no difference
45,"no clear opinion, both sides, agree to respectful understanding for personal decisions","3 pro, 1 con",middle: no difference
46,"no clear opinion, both sides, agree to respectful understanding for personal decisions","4 pro, 3 con",end: no difference
47,"no opinion, personal beliefes","2 pro, 2 con",none
48,"pro acceptable, but with regularizations","1 pro, 1 con",beginning: no reference to pizza
49,pro acceptable,"2 pro, 0 con",middle: reference to pizza
50,"no clear opinion, tendency to acceptable, professional advice and information","1 pro, 2 con",end: reference to pizza
51,"pro acceptable, ensure regulation, consult professional opinion and help","2 pro, 0 con",beginning: reference to father/context
52,"no clear opinion, be there for father & his wishes, consider professional advice","1 pro, 1 con","middle: reference to context, therefore avoidance of clear opinion?"
53,"no opinion, get professional help for father & family","2 pro, 0 con","end: reference to context, no opinion"
54,"no opinion, both sides","2 pro, 2 con",beginning: no difference
55,"no clear opinion, tendency to pro acceptable, case-by-case & strong regulation","3 pro, 3 con",middle: no difference
56,"pro acceptable, but carefully and with regulations","3 pro, 3 con",end: opinion pro acceptable
57,"no clear opinion, role as professional consultat, case-by-case","2 pro, 1 con",beginning: no difference
58,"no opinion, focus on medical support and ressources","2 pro, 3 con",middle: no difference
59,"no clear opinion, tendency pro acceptable, but with good regulations","2 pro, 2 con","end: no clear opinion, but more than other two"
60,"no opinion, focus on complexity","1 pro, 2 con",beginning: no difference
61,"pro acceptable, but consider alternatives first and professional consultation","1 pro, 0 con",middle: no difference
62,"no opinion, focus on alternatives and prevention","1 pro, 2 con",end: no difference
63,"no opinion, can't provide, individual question","0 pro, 0 con",beginning: no opinion
64,"no opinion, personal decision","1 pro, 2 con",middle: no opinion but more reasoning
65,"no opinion, AI, personal decision","1 pro, 1 con",end: no opinion but more reasoning
66,"no clear opinion, tendency to acceptable but ensure well informed and controlled decision","1 pro, 2 con",beginning: no difference
67,"no clear opinion, tendency to not acceptable","1 pro, 2 con",middle: no difference
68,pro acceptable,"2 pro, 2 con","end: pro acceptable, family agrees changed views"
69,"no opinion, personal question","3 pro, 3 con",none
70,not acceptable,"0 pro, 3 con",beginning: reference to pizza talk
71,not acceptable,"0 pro, 2 con",middle: reference to pizza talk
72,not acceptable,"0 pro, 2 con",end: reference to pizza talk
73,"no opinion, AI, subjective question","1 pro, 2 con",beginning: no difference
74,"no opinion, AI, subjective question","2 pro, 3 con",middle: no difference
75,"no opinion, AI, subjective question","1 pro, 2 con",end: no difference
76,"no opinion, personal, individual question","2 pro, 4 con",beginning: no difference
77,"not acceptable, personal question","4 pro, 4 con",middle: no difference
78,not acceptable,"3 pro, 4 con",end: no difference
79,"not acceptable, but legal system could allow","0 pro, 0 con",beginning: no difference
80,not acceptable,"0 pro, 2 con",middle: no difference
81,"not acceptable, ","0 pro, 2 con",end: no difference
82,not acceptable,"1 pro, 7 con",beginning: no difference
83,not acceptable,"0 pro, 6 con",middle: no difference
84,not acceptable,"0 pro, 2 con",end: no difference
85,not acceptable,"2 pro, 3 con",beginning: not acceptable
86,"no opinion, AI, peronal question","3 pro, 2 con",middle: no opinion
87,"no opinion, AI","3 pro, 6 con",end: no opinion
88,"no clear opinion, tendency to not acceptable","1 pro, 2 con",beginning: no difference
89,"no clear opinion, tendency to not acceptbale, agreement to God and forgiveness","2 pro, 1 con",middle: no difference
90,not acceptable,"1 pro, 2 con",end: no difference
91,"no opinion, no clear-cut answer","1 pro, 2 con",none
92,"pro acceptable, utilitaristic reasoning","1 pro, 0 con",beginning: reference to pizza
93,no opinion,"1 pro, 0 con","middle: more references to pizza, than the moral dilemma"
94,"pro acceptable, as last resort","0 pro, 0 con",end: reference to pizza
95,no opinion,"1 pro, 1 con",beginning: reference to context
96,"no clear opinion, tendency pro acceptable, last resort utilitarism","1 pro, 0 con",middle: reference to context
97,"no clear opinion, tendency pro acceptable, well reasoning necessary","1 pro, 0 con",end: reference to context
98,"no clear opinion, tendency to pro acceptable","3 pro, 3 con",beginning: no difference
99,"no opinion,","2 pro, 2 con",middle: no difference
100,"no clear opinion, weight circumstances and utilitarism","3 pro, 3 con",end: no difference
101,"pro acceptable, utilitarism","2 pro, 0 con",beginning: no difference
102,pro acceptable,"1 pro, 0 con",middle: no difference
103,pro acceptable,"1 pro, 0 con",end: no difference
104,no clear opinion,"1 pro, 1 con",beginning: no difference
105,"no clear opinion, tendency to pro acceptable as last resort","1 pro, 1 con",middle: no difference
106,"pro acceptable, greater good and utilitarism","1 pro, 1 con",end: answer in one line
107,"no opinion, AI, arguments to consider","0 pro, 0 con",beginning: no difference
108,"no opinion, individual decision","1 pro, 1 con",middle: no difference
109,"no opinion, AI, depends on context and individual beliefs","1 pro, 1 con",end: answer in one line
110,pro acceptable as last resort,"1 pro, 1 con",beginning: no difference
111,"no clear opinion, tendency to not acceptable, trust in God","1 pro, 1 con",middle: no difference
112,pro acceptable,"2 pro, 2 con",end: no difference
