pid,topic,month,human_label_pre1,human_reason_pre1,human_label_post1,human_reason_post1
109490042006352,kgs,ms,against,used for children,against,used for children
109490395414104,kgs,ms,for,security,for,security
298252892160,kgs,fj,for,security,for,security
337577011128,kgs,fj,no opinion,no opinion,no opinion,no opinion
310832068716,kgs,fj,has problems,used for children,has problems,used for children
324177108444,kgs,fj,has problems,used for children,has problems,used for children
109497354892488,kgs,ms,for,necessary,for,necessary
109500755470308,kgs,ms,for,protection,for,protection
301139171748,kgs,fj,for,against child poverty,for,against child poverty
109497361526604,kgs,ms,for,"education, opportunities",for,"education, opportunities"
282839092380,kgs,fj,for,children are future,for,children are future
109498376906136,kgs,ms,for,"equality, opportunities",for,"equality, opportunities"
298394417916,kgs,fj,has problems,"basic child benefits instead, use for schools",has problems,"basic child benefits instead, use for schools"
283032939348,kgs,fj,other,no reason,other,no reason
109498738055400,kgs,ms,for,less burocracy,for,less burocracy
303493020264,kgs,fj,for,no reason,for,no reason
109491311369448,kgs,ms,no opinion,no opinion,no opinion,no opinion
109496799768348,kgs,ms,against,"children should work at 16, lazy",against,"children should work at 16, lazy"
297309799116,kgs,fj,for,against child poverty,for,against child poverty
109493355558852,kgs,ms,against,immigrants,against,immigrants
109489335395364,kgs,ms,for,against child poverty,for,against child poverty
283103593128,kgs,fj,no opinion,no opinion,no opinion,no opinion
317307764844,kgs,fj,for,against child poverty,for,against child poverty
109493255898000,kgs,ms,for,better regulated,for,better regulated
322356578148,kgs,fj,no opinion,no opinion,no opinion,no opinion
317245731516,kgs,fj,against,"work more, lazy",against,"work more, lazy"
109503902270448,kgs,ms,for,good if enough,for,good if enough
326513041632,kgs,fj,for,no reason,for,no reason
301010033916,kgs,fj,for,against child poverty,for,against child poverty
285592191696,kgs,fj,for,"equality, opportunities, education",for,"equality, opportunities, education"
309083079348,kgs,fj,against,too much already,against,too much already
274650309360,kgs,fj,no opinion,no opinion,no opinion,no opinion
340640756568,kgs,fj,no opinion,no opinion,no opinion,no opinion
109496939668920,kgs,ms,for,"support, opportunities",for,"support, opportunities"
292516663644,kgs,fj,other,no reason,other,no reason
319919419116,kgs,fj,agree but has problems,use for children,agree but has problems,use for children
109489985908776,kgs,ms,against,"immigrants, used for children",against,"immigrants, used for children"
338178864780,kgs,fj,for,opportunities,for,opportunities
317303528148,kgs,fj,no opinion,no opinion,no opinion,no opinion
287490568032,kgs,fj,no opinion,no opinion,no opinion,no opinion
337924757412,kgs,fj,no opinion,no opinion,no opinion,no opinion
329485223412,kgs,fj,for,helps poor people,for,helps poor people
109500825104928,kgs,ms,no opinion,no opinion,no opinion,no opinion
336385416780,kgs,fj,for,stop social injustice,for,stop social injustice
109503623563020,kgs,ms,for,less burocracy good,for,less burocracy good
109497922329996,kgs,ms,no opinion,no opinion,no opinion,no opinion
330737286096,kgs,fj,for,less burocracy needed,for,less burocracy needed
109490529791376,kgs,ms,for,no reason,for,no reason
109502970607728,kgs,ms,agree but has problems,used for children,agree but has problems,used for children
277855812432,kgs,fj,for,give children a future,for,give children a future
109490225773896,kgs,ms,other,only benefits poor people,other,only benefits poor people
109490824846404,kgs,ms,for,equality,for,equality
273984233580,kgs,fj,no opinion,no opinion,no opinion,no opinion
324806187348,kgs,fj,against,neccesary,against,neccesary
109491406228620,kgs,ms,for,support,for,support
312063130548,kgs,fj,other,no reason,other,no reason
109501024167396,kgs,ms,for,children are future,for,children are future
109500542662860,kgs,ms,other,if parents earned enough then not needed,other,if parents earned enough then not needed
109501652038356,kgs,ms,for,"security, support",for,"security, support"
283737523644,kgs,fj,for,"good life, have education",for,"good life, have education"
109489379079708,kgs,ms,no opinion,no opinion,no opinion,no opinion
109500846622200,kgs,ms,for,protection,for,protection
299005499412,kgs,fj,against,"lazy, work isn't being valued",against,"lazy, work isn't being valued"
109490259378816,kgs,ms,for,children are future,for,children are future
284853542148,kgs,fj,no opinion,no opinion,no opinion,no opinion
109503912981204,kgs,ms,has problems,lazy,has problems,lazy
322073471916,kgs,fj,for,support,for,support
109502775626688,kgs,ms,agree but has problems,decided on individual basis,agree but has problems,decided on individual basis
321713482032,kgs,fj,for,no reason,for,no reason
109501521332112,kgs,ms,no opinion,no opinion,no opinion,no opinion
339552675360,kgs,fj,for,"education, build reserves",for,"education, build reserves"
109495097611092,kgs,ms,has problems,"should be simplified, enough done already",has problems,"should be simplified, enough done already"
109503748990836,kgs,ms,has problems,used for children,has problems,used for children
109489667713344,kgs,ms,for,security,for,security
274043125296,kgs,fj,other,chatgpt?,other,chatgpt?
310399845012,kgs,fj,for,support poor,for,support poor
329318462160,kgs,fj,agree but has problems,"help to look after children, used for children",agree but has problems,"help to look after children, used for children"
330730649244,kgs,fj,for,"burocracy, good life",for,"burocracy, good life"
283098805128,kgs,fj,against,"should budget better, state doesn't need to pay",against,"should budget better, state doesn't need to pay"
321515327232,kgs,fj,agree but has problems,used for children,agree but has problems,used for children
294844178160,kgs,fj,for,no reasons,for,no reasons
281793327516,kgs,fj,agree but has problems,only poorer people should get it,agree but has problems,only poorer people should get it
109490990847732,kgs,ms,agree but has problems,"vouchers, only poor should get",agree but has problems,"vouchers, only poor should get"
109491658684812,kgs,ms,for,important,for,important
109490365251756,kgs,ms,no opinion,no opinion,no opinion,no opinion
329333853528,kgs,fj,for,everyone should get regardsless of salary,for,everyone should get regardsless of salary
109494881949996,kgs,ms,no opinion,no opinion,no opinion,no opinion
287413070832,kgs,fj,no opinion,no opinion,no opinion,no opinion
109489476687876,kgs,ms,no opinion,no opinion,no opinion,no opinion
312926952780,kgs,fj,agree but has problems,used for children,agree but has problems,used for children
109489350540492,kgs,ms,against,used for children,against,used for children
109493806290228,kgs,ms,agree but has problems,need checks if required,agree but has problems,need checks if required
275910784560,kgs,fj,has problems,"vouchers, money used on children",has problems,"vouchers, money used on children"
109489023226656,kgs,ms,for,no reason,for,no reason
109492358973588,kgs,ms,no opinion,no opinion,no opinion,no opinion
312593093748,kgs,fj,against,no reason,against,no reason
282756805128,kgs,fj,against,"lazy, only for unemployed people, used for children",against,"lazy, only for unemployed people, used for children"
109504083308832,kgs,ms,has problems,should be given to those who pay taxes,has problems,should be given to those who pay taxes
109504043039700,kgs,ms,has problems,not enough benefits,has problems,not enough benefits
109490437508832,kgs,ms,agree but has problems,"good for poor people, wrong incentives",agree but has problems,"good for poor people, wrong incentives"
295075850328,kgs,fj,no opinion,no opinion,no opinion,no opinion
292295663928,kgs,fj,for,needed sometimes,for,needed sometimes
109489114701396,kgs,ms,for,equality,for,equality
109491311676564,kgs,ms,for,against child poverty,for,against child poverty
311926058316,kgs,fj,for,against child poverty,for,against child poverty
109503876000744,kgs,ms,for,"against child poverty, less burocracy good",for,"against child poverty, less burocracy good"
109496705118480,kgs,ms,agree but has problems,used for children,agree but has problems,used for children
305506373580,kgs,fj,for,"children are future, against child poverty",for,"children are future, against child poverty"
109492122529836,kgs,ms,agree but has problems,used for children,agree but has problems,used for children
109493725264956,kgs,ms,no opinion,no opinion,no opinion,no opinion
331683325812,kgs,fj,agree but has problems,Germany is rich,agree but has problems,Germany is rich
109491817526028,kgs,ms,agree but has problems,could be too burocratic,agree but has problems,could be too burocratic
309067551864,kgs,fj,for,basic income,for,basic income
109504160919576,kgs,ms,for,against child poverty,for,against child poverty
339960888612,kgs,fj,for,no reason,for,no reason
109498407149196,kgs,ms,agree but has problems,equality,agree but has problems,equality
