,original_text_prediction,mcad_prediction,chatgpt_prediction,flan_prediction
84,hate,hate,hate,not_hate
85,not_hate,not_hate,not_hate,hate
86,not_hate,not_hate,not_hate,not_hate
87,hate,hate,hate,not_hate
88,not_hate,not_hate,not_hate,not_hate
89,not_hate,not_hate,not_hate,not_hate
90,not_hate,not_hate,not_hate,not_hate
91,not_hate,not_hate,not_hate,not_hate
92,hate,hate,hate,hate
93,not_hate,not_hate,not_hate,not_hate
94,not_hate,not_hate,not_hate,not_hate
95,not_hate,not_hate,not_hate,not_hate
96,not_hate,not_hate,not_hate,not_hate
97,hate,hate,hate,hate
98,not_hate,not_hate,not_hate,not_hate
99,not_hate,not_hate,not_hate,not_hate
100,not_hate,not_hate,not_hate,not_hate
101,hate,hate,hate,hate
102,hate,hate,hate,hate
103,not_hate,not_hate,not_hate,hate
104,not_hate,not_hate,not_hate,not_hate
105,hate,hate,hate,hate
106,not_hate,not_hate,not_hate,not_hate
107,hate,hate,hate,hate
108,hate,hate,hate,hate
109,hate,hate,hate,hate
110,hate,hate,hate,not_hate
111,hate,hate,hate,hate
112,not_hate,not_hate,not_hate,not_hate
113,not_hate,not_hate,not_hate,not_hate
114,not_hate,not_hate,not_hate,not_hate
115,hate,hate,hate,hate
116,not_hate,not_hate,not_hate,not_hate
117,not_hate,not_hate,not_hate,not_hate
118,hate,hate,hate,hate
119,hate,hate,hate,hate
120,hate,hate,hate,hate
121,not_hate,not_hate,not_hate,not_hate
122,not_hate,not_hate,not_hate,not_hate
123,hate,hate,hate,hate
124,not_hate,not_hate,not_hate,not_hate
125,hate,hate,hate,not_hate
126,not_hate,not_hate,not_hate,hate
127,not_hate,not_hate,not_hate,not_hate
128,not_hate,not_hate,not_hate,not_hate
129,not_hate,not_hate,not_hate,not_hate
130,not_hate,not_hate,not_hate,not_hate
131,not_hate,not_hate,not_hate,not_hate
132,not_hate,not_hate,not_hate,not_hate
133,not_hate,not_hate,not_hate,not_hate
134,hate,hate,hate,hate
135,not_hate,not_hate,not_hate,not_hate
136,not_hate,not_hate,not_hate,not_hate
137,not_hate,not_hate,not_hate,not_hate
138,hate,hate,hate,hate
139,not_hate,not_hate,not_hate,hate
140,not_hate,not_hate,not_hate,hate
141,not_hate,not_hate,not_hate,not_hate
142,hate,hate,hate,not_hate
143,not_hate,not_hate,not_hate,not_hate
144,not_hate,not_hate,not_hate,not_hate
145,not_hate,not_hate,not_hate,not_hate
146,not_hate,not_hate,not_hate,not_hate
147,not_hate,not_hate,not_hate,hate
148,not_hate,not_hate,not_hate,not_hate
149,hate,hate,hate,hate
150,not_hate,not_hate,not_hate,not_hate
151,hate,hate,hate,hate
152,not_hate,not_hate,not_hate,not_hate
153,hate,hate,hate,hate
154,not_hate,not_hate,not_hate,not_hate
155,not_hate,not_hate,not_hate,hate
156,not_hate,not_hate,not_hate,not_hate
157,not_hate,not_hate,not_hate,hate
158,hate,hate,hate,hate
159,hate,hate,hate,hate
160,hate,hate,hate,not_hate
161,not_hate,not_hate,not_hate,not_hate
162,not_hate,not_hate,not_hate,hate
163,not_hate,not_hate,not_hate,hate
164,not_hate,not_hate,not_hate,not_hate
165,not_hate,not_hate,not_hate,not_hate
166,not_hate,not_hate,not_hate,not_hate
167,hate,hate,hate,hate
168,not_hate,not_hate,not_hate,not_hate
169,hate,hate,hate,hate
170,hate,hate,hate,hate
171,not_hate,not_hate,not_hate,not_hate
172,not_hate,not_hate,not_hate,not_hate
173,hate,hate,hate,hate
174,not_hate,not_hate,not_hate,not_hate
175,not_hate,not_hate,not_hate,not_hate
176,not_hate,not_hate,not_hate,not_hate
177,not_hate,not_hate,not_hate,not_hate
178,not_hate,not_hate,not_hate,not_hate
179,not_hate,not_hate,not_hate,not_hate
180,not_hate,not_hate,not_hate,not_hate
181,hate,hate,hate,hate
182,hate,hate,hate,hate
183,not_hate,not_hate,not_hate,not_hate
184,not_hate,not_hate,not_hate,not_hate
185,not_hate,not_hate,not_hate,not_hate
186,hate,hate,hate,hate
187,not_hate,not_hate,not_hate,hate
188,not_hate,not_hate,not_hate,not_hate
189,not_hate,not_hate,not_hate,not_hate
190,not_hate,not_hate,not_hate,not_hate
191,hate,hate,hate,hate
192,hate,hate,hate,not_hate
193,hate,hate,hate,hate
194,hate,hate,hate,hate
195,not_hate,not_hate,not_hate,not_hate
196,hate,hate,hate,hate
197,not_hate,not_hate,not_hate,not_hate
198,hate,hate,hate,hate
199,hate,hate,hate,not_hate
200,not_hate,not_hate,not_hate,not_hate
201,hate,hate,hate,hate
202,hate,hate,hate,not_hate
203,not_hate,not_hate,not_hate,not_hate
204,not_hate,not_hate,not_hate,not_hate
205,not_hate,not_hate,not_hate,not_hate
206,hate,hate,hate,not_hate
207,not_hate,not_hate,not_hate,not_hate
208,not_hate,not_hate,not_hate,not_hate
209,not_hate,not_hate,not_hate,hate
210,not_hate,not_hate,not_hate,not_hate
211,not_hate,not_hate,not_hate,not_hate
212,hate,hate,hate,hate
213,not_hate,not_hate,not_hate,not_hate
214,not_hate,not_hate,not_hate,not_hate
215,not_hate,not_hate,not_hate,hate
216,not_hate,not_hate,not_hate,not_hate
217,not_hate,not_hate,not_hate,not_hate
218,not_hate,not_hate,not_hate,not_hate
219,not_hate,not_hate,not_hate,not_hate
220,hate,hate,hate,not_hate
221,not_hate,not_hate,not_hate,not_hate
222,not_hate,not_hate,not_hate,not_hate
223,not_hate,not_hate,not_hate,not_hate
224,hate,hate,hate,hate
225,hate,hate,hate,hate
226,not_hate,not_hate,not_hate,not_hate
227,hate,hate,hate,hate
228,hate,hate,hate,hate
229,hate,hate,hate,not_hate
230,not_hate,not_hate,not_hate,not_hate
231,not_hate,not_hate,not_hate,not_hate
232,not_hate,not_hate,not_hate,not_hate
233,not_hate,not_hate,not_hate,not_hate
234,hate,hate,hate,hate
235,not_hate,not_hate,not_hate,not_hate
236,not_hate,not_hate,not_hate,not_hate
237,not_hate,not_hate,not_hate,not_hate
238,not_hate,not_hate,not_hate,not_hate
239,not_hate,not_hate,not_hate,not_hate
240,hate,hate,hate,hate
241,hate,hate,hate,not_hate
242,hate,hate,hate,hate
243,not_hate,not_hate,not_hate,not_hate
244,not_hate,not_hate,not_hate,not_hate
245,hate,hate,hate,hate
246,not_hate,not_hate,not_hate,not_hate
247,hate,hate,hate,not_hate
248,not_hate,not_hate,not_hate,not_hate
249,hate,hate,hate,hate
250,not_hate,not_hate,not_hate,not_hate
251,not_hate,not_hate,not_hate,not_hate
252,not_hate,not_hate,not_hate,not_hate
253,not_hate,not_hate,not_hate,not_hate
254,not_hate,not_hate,not_hate,hate
255,not_hate,not_hate,not_hate,not_hate
256,hate,hate,hate,not_hate
257,not_hate,not_hate,not_hate,not_hate
258,hate,hate,hate,hate
259,not_hate,not_hate,not_hate,hate
260,not_hate,not_hate,not_hate,not_hate
261,not_hate,not_hate,not_hate,not_hate
262,hate,hate,hate,hate
263,not_hate,not_hate,not_hate,not_hate
264,not_hate,not_hate,not_hate,not_hate
265,not_hate,not_hate,not_hate,not_hate
266,not_hate,not_hate,not_hate,not_hate
267,not_hate,not_hate,not_hate,not_hate
268,not_hate,not_hate,not_hate,not_hate
269,not_hate,not_hate,not_hate,not_hate
270,not_hate,not_hate,not_hate,not_hate
271,hate,hate,hate,hate
272,hate,hate,hate,hate
273,not_hate,not_hate,not_hate,not_hate
274,not_hate,not_hate,not_hate,not_hate
275,not_hate,not_hate,not_hate,not_hate
276,hate,hate,hate,hate
277,not_hate,not_hate,not_hate,not_hate
278,hate,hate,hate,not_hate
279,not_hate,not_hate,not_hate,not_hate
280,not_hate,not_hate,not_hate,not_hate
281,hate,hate,hate,hate
282,hate,hate,hate,hate
283,hate,hate,hate,hate
284,not_hate,not_hate,not_hate,not_hate
285,hate,hate,hate,not_hate
286,not_hate,not_hate,not_hate,not_hate
287,not_hate,not_hate,not_hate,not_hate
288,not_hate,not_hate,not_hate,not_hate
289,not_hate,not_hate,not_hate,not_hate
290,hate,hate,hate,not_hate
291,hate,hate,hate,not_hate
292,not_hate,not_hate,not_hate,not_hate
293,not_hate,not_hate,not_hate,not_hate
294,not_hate,not_hate,not_hate,not_hate
295,not_hate,not_hate,not_hate,not_hate
296,not_hate,not_hate,not_hate,not_hate
297,not_hate,not_hate,not_hate,hate
298,hate,hate,hate,hate
299,not_hate,not_hate,not_hate,hate
300,not_hate,not_hate,not_hate,not_hate
301,hate,hate,hate,hate
302,not_hate,not_hate,not_hate,not_hate
303,not_hate,not_hate,not_hate,hate
304,not_hate,not_hate,not_hate,not_hate
305,not_hate,not_hate,not_hate,not_hate
306,not_hate,not_hate,not_hate,not_hate
307,not_hate,not_hate,not_hate,hate
308,not_hate,not_hate,not_hate,not_hate
309,not_hate,not_hate,not_hate,not_hate
310,hate,hate,hate,hate
311,hate,hate,hate,hate
312,not_hate,not_hate,not_hate,not_hate
313,hate,hate,hate,hate
314,hate,hate,hate,hate
315,hate,hate,hate,not_hate
316,not_hate,not_hate,not_hate,not_hate
317,not_hate,not_hate,not_hate,not_hate
318,not_hate,not_hate,not_hate,not_hate
319,hate,hate,hate,hate
320,not_hate,not_hate,not_hate,not_hate
321,not_hate,not_hate,not_hate,not_hate
322,hate,hate,hate,hate
323,not_hate,not_hate,not_hate,not_hate
324,hate,hate,hate,hate
325,not_hate,not_hate,not_hate,not_hate
326,not_hate,not_hate,not_hate,not_hate
327,hate,hate,hate,hate
328,not_hate,not_hate,not_hate,not_hate
329,not_hate,not_hate,not_hate,not_hate
330,hate,hate,hate,hate
331,not_hate,not_hate,not_hate,not_hate
332,not_hate,not_hate,not_hate,not_hate
333,not_hate,not_hate,not_hate,not_hate
334,not_hate,not_hate,not_hate,not_hate
335,hate,hate,hate,hate
336,not_hate,not_hate,not_hate,hate
337,not_hate,not_hate,not_hate,not_hate
338,not_hate,not_hate,not_hate,not_hate
339,hate,hate,hate,hate
340,not_hate,not_hate,not_hate,not_hate
341,not_hate,not_hate,not_hate,not_hate
342,not_hate,not_hate,not_hate,not_hate
343,not_hate,not_hate,not_hate,not_hate
344,not_hate,not_hate,not_hate,not_hate
345,not_hate,not_hate,not_hate,not_hate
346,not_hate,not_hate,not_hate,not_hate
347,not_hate,not_hate,not_hate,not_hate
348,not_hate,not_hate,not_hate,not_hate
349,hate,hate,hate,not_hate
350,not_hate,not_hate,not_hate,not_hate
351,not_hate,not_hate,not_hate,not_hate
352,hate,hate,hate,hate
353,not_hate,not_hate,not_hate,not_hate
354,not_hate,not_hate,not_hate,hate
355,not_hate,not_hate,not_hate,not_hate
356,not_hate,not_hate,not_hate,not_hate
357,not_hate,not_hate,not_hate,not_hate
358,not_hate,not_hate,not_hate,not_hate
359,hate,hate,hate,hate
360,not_hate,not_hate,not_hate,not_hate
361,hate,hate,hate,not_hate
362,not_hate,not_hate,not_hate,hate
363,not_hate,not_hate,not_hate,not_hate
364,not_hate,not_hate,not_hate,not_hate
365,hate,hate,hate,hate
366,not_hate,not_hate,not_hate,not_hate
367,not_hate,not_hate,not_hate,not_hate
368,not_hate,not_hate,not_hate,not_hate
369,not_hate,not_hate,not_hate,not_hate
370,not_hate,not_hate,not_hate,not_hate
371,not_hate,not_hate,not_hate,not_hate
372,hate,hate,hate,hate
373,not_hate,not_hate,not_hate,not_hate
374,not_hate,not_hate,not_hate,not_hate
375,hate,hate,hate,hate
376,hate,hate,hate,hate
377,hate,hate,hate,hate
378,not_hate,not_hate,not_hate,not_hate
379,hate,hate,hate,not_hate
380,not_hate,not_hate,not_hate,not_hate
381,not_hate,not_hate,not_hate,hate
382,not_hate,not_hate,not_hate,not_hate
383,not_hate,not_hate,not_hate,not_hate
384,not_hate,not_hate,not_hate,not_hate
385,not_hate,not_hate,not_hate,not_hate
386,not_hate,not_hate,not_hate,not_hate
387,hate,hate,hate,hate
388,not_hate,not_hate,not_hate,not_hate
389,not_hate,not_hate,not_hate,not_hate
390,not_hate,not_hate,not_hate,not_hate
391,not_hate,not_hate,not_hate,not_hate
392,not_hate,not_hate,not_hate,not_hate
393,hate,hate,hate,not_hate
394,not_hate,not_hate,not_hate,not_hate
395,not_hate,not_hate,not_hate,not_hate
396,not_hate,not_hate,not_hate,not_hate
397,not_hate,not_hate,not_hate,not_hate
398,not_hate,not_hate,not_hate,hate
399,not_hate,not_hate,not_hate,not_hate
400,not_hate,not_hate,not_hate,hate
401,hate,hate,hate,not_hate
402,not_hate,not_hate,not_hate,not_hate
403,hate,hate,hate,hate
404,hate,hate,hate,hate
405,not_hate,not_hate,not_hate,not_hate
406,not_hate,not_hate,not_hate,not_hate
407,hate,hate,hate,not_hate
408,not_hate,not_hate,not_hate,not_hate
409,not_hate,not_hate,not_hate,not_hate
410,hate,hate,hate,not_hate
411,not_hate,not_hate,not_hate,not_hate
412,not_hate,not_hate,not_hate,not_hate
413,not_hate,not_hate,not_hate,hate
414,not_hate,not_hate,not_hate,not_hate
415,hate,hate,hate,hate
416,hate,hate,hate,hate
417,not_hate,not_hate,not_hate,not_hate
418,hate,hate,hate,hate
419,hate,hate,hate,hate
420,not_hate,not_hate,not_hate,not_hate
421,not_hate,not_hate,not_hate,not_hate
422,hate,hate,hate,hate
423,hate,hate,hate,hate
424,hate,hate,hate,hate
425,not_hate,not_hate,not_hate,hate
426,not_hate,not_hate,not_hate,not_hate
427,not_hate,not_hate,not_hate,hate
428,hate,hate,hate,hate
429,not_hate,not_hate,not_hate,not_hate
430,not_hate,not_hate,not_hate,not_hate
431,hate,hate,hate,hate
432,not_hate,not_hate,not_hate,hate
433,not_hate,not_hate,not_hate,not_hate
434,hate,hate,hate,hate
435,not_hate,not_hate,not_hate,not_hate
436,not_hate,not_hate,not_hate,not_hate
437,hate,hate,hate,hate
438,not_hate,not_hate,not_hate,not_hate
439,not_hate,not_hate,not_hate,not_hate
440,not_hate,not_hate,not_hate,hate
441,not_hate,not_hate,not_hate,not_hate
442,not_hate,not_hate,not_hate,not_hate
443,hate,hate,hate,not_hate
444,not_hate,not_hate,not_hate,not_hate
445,hate,hate,hate,hate
446,not_hate,not_hate,not_hate,not_hate
447,not_hate,not_hate,not_hate,not_hate
448,not_hate,not_hate,not_hate,not_hate
449,not_hate,not_hate,not_hate,not_hate
450,not_hate,not_hate,not_hate,not_hate
451,hate,hate,hate,not_hate
452,not_hate,not_hate,not_hate,hate
453,hate,hate,hate,hate
454,not_hate,not_hate,not_hate,not_hate
455,hate,hate,hate,hate
456,not_hate,not_hate,not_hate,not_hate
457,not_hate,not_hate,not_hate,hate
458,hate,hate,hate,hate
459,hate,hate,hate,hate
460,not_hate,not_hate,not_hate,not_hate
461,hate,hate,hate,hate
462,not_hate,not_hate,not_hate,not_hate
463,not_hate,not_hate,not_hate,hate
464,not_hate,not_hate,not_hate,not_hate
465,hate,hate,hate,not_hate
466,not_hate,not_hate,not_hate,not_hate
467,not_hate,not_hate,not_hate,not_hate
468,hate,hate,hate,hate
469,not_hate,not_hate,not_hate,not_hate
470,not_hate,not_hate,not_hate,not_hate
471,not_hate,not_hate,not_hate,not_hate
472,hate,hate,hate,not_hate
473,hate,hate,hate,not_hate
474,not_hate,not_hate,not_hate,not_hate
475,not_hate,not_hate,not_hate,not_hate
476,not_hate,not_hate,not_hate,not_hate
477,not_hate,not_hate,not_hate,not_hate
478,not_hate,not_hate,not_hate,not_hate
479,hate,hate,hate,hate
480,not_hate,not_hate,not_hate,not_hate
481,not_hate,not_hate,not_hate,not_hate
482,not_hate,not_hate,not_hate,not_hate
483,hate,hate,hate,hate
484,not_hate,not_hate,not_hate,not_hate
485,hate,hate,hate,not_hate
486,hate,hate,hate,hate
487,not_hate,not_hate,not_hate,not_hate
488,hate,hate,hate,not_hate
489,hate,hate,hate,not_hate
490,not_hate,not_hate,not_hate,not_hate
491,not_hate,not_hate,not_hate,not_hate
492,not_hate,not_hate,not_hate,not_hate
493,not_hate,not_hate,not_hate,not_hate
494,not_hate,not_hate,not_hate,not_hate
495,hate,hate,hate,hate
496,not_hate,not_hate,not_hate,not_hate
497,hate,hate,hate,hate
498,hate,hate,hate,not_hate
499,not_hate,not_hate,not_hate,not_hate
