,original_text_prediction,mcad_prediction,chatgpt_prediction,flan_prediction
428,hate,hate,hate,hate
429,hate,hate,hate,hate
430,hate,hate,hate,hate
431,hate,hate,hate,hate
432,hate,hate,hate,hate
433,not_hate,not_hate,not_hate,not_hate
434,not_hate,not_hate,not_hate,not_hate
435,not_hate,not_hate,not_hate,not_hate
436,hate,hate,hate,hate
437,hate,hate,hate,not_hate
438,hate,hate,hate,not_hate
439,not_hate,not_hate,not_hate,not_hate
440,hate,hate,hate,hate
441,hate,hate,hate,hate
442,not_hate,not_hate,not_hate,not_hate
443,hate,hate,hate,hate
444,not_hate,not_hate,not_hate,not_hate
445,hate,hate,hate,hate
446,hate,hate,hate,not_hate
447,hate,hate,hate,hate
448,not_hate,not_hate,not_hate,not_hate
449,not_hate,not_hate,not_hate,hate
450,hate,hate,hate,hate
451,not_hate,not_hate,not_hate,not_hate
452,hate,hate,hate,hate
453,hate,hate,hate,hate
454,hate,hate,hate,hate
455,not_hate,not_hate,not_hate,not_hate
456,hate,hate,hate,hate
457,hate,hate,hate,hate
458,hate,hate,hate,hate
459,not_hate,not_hate,not_hate,not_hate
460,hate,hate,hate,not_hate
461,hate,hate,hate,hate
462,hate,hate,hate,not_hate
463,hate,hate,hate,hate
464,hate,hate,hate,hate
465,not_hate,not_hate,not_hate,not_hate
466,hate,hate,hate,hate
467,hate,hate,hate,hate
468,hate,hate,hate,hate
469,hate,hate,hate,not_hate
470,hate,hate,hate,hate
471,hate,hate,hate,hate
472,not_hate,not_hate,not_hate,not_hate
473,hate,hate,hate,hate
474,hate,hate,hate,hate
475,hate,hate,hate,hate
476,hate,hate,hate,not_hate
477,not_hate,not_hate,not_hate,not_hate
478,hate,hate,hate,hate
479,not_hate,not_hate,not_hate,not_hate
480,hate,hate,hate,hate
481,hate,hate,hate,not_hate
482,hate,hate,hate,hate
483,not_hate,not_hate,not_hate,not_hate
484,hate,hate,hate,not_hate
485,hate,hate,hate,hate
486,hate,hate,hate,hate
487,hate,hate,hate,hate
488,not_hate,not_hate,not_hate,not_hate
489,not_hate,not_hate,not_hate,not_hate
490,hate,hate,hate,not_hate
491,hate,hate,hate,not_hate
492,hate,hate,hate,hate
493,hate,hate,hate,not_hate
494,hate,hate,hate,hate
495,hate,hate,hate,hate
496,hate,hate,hate,hate
497,hate,hate,hate,not_hate
498,hate,hate,hate,hate
499,not_hate,not_hate,not_hate,not_hate
