,original_text_prediction,mcad_prediction,chatgpt_prediction,flan_prediction
88,hate,hate,hate,not_hate
89,not_hate,not_hate,not_hate,not_hate
90,hate,hate,hate,not_hate
91,hate,hate,hate,hate
92,not_hate,not_hate,not_hate,not_hate
93,not_hate,not_hate,not_hate,not_hate
94,hate,hate,hate,hate
95,hate,hate,hate,hate
96,not_hate,not_hate,not_hate,hate
97,not_hate,not_hate,not_hate,not_hate
98,not_hate,not_hate,not_hate,not_hate
99,not_hate,not_hate,not_hate,not_hate
100,not_hate,not_hate,not_hate,not_hate
101,not_hate,not_hate,not_hate,not_hate
102,hate,hate,hate,hate
103,not_hate,not_hate,not_hate,not_hate
104,hate,hate,hate,not_hate
105,not_hate,not_hate,not_hate,not_hate
106,not_hate,not_hate,not_hate,not_hate
107,not_hate,not_hate,not_hate,not_hate
108,not_hate,not_hate,not_hate,not_hate
109,hate,hate,hate,hate
110,not_hate,not_hate,not_hate,hate
111,hate,hate,hate,hate
112,hate,hate,hate,not_hate
113,not_hate,not_hate,not_hate,not_hate
114,not_hate,not_hate,not_hate,not_hate
115,hate,hate,hate,hate
116,not_hate,not_hate,not_hate,not_hate
117,not_hate,not_hate,not_hate,not_hate
118,not_hate,not_hate,not_hate,not_hate
119,hate,hate,hate,not_hate
120,hate,hate,hate,hate
121,hate,hate,hate,hate
122,hate,hate,hate,not_hate
123,not_hate,not_hate,not_hate,not_hate
124,not_hate,not_hate,not_hate,not_hate
125,not_hate,not_hate,not_hate,not_hate
126,not_hate,not_hate,not_hate,hate
127,hate,hate,hate,hate
128,not_hate,not_hate,not_hate,hate
129,hate,hate,hate,hate
130,hate,hate,hate,hate
131,not_hate,not_hate,not_hate,not_hate
132,not_hate,not_hate,not_hate,not_hate
133,hate,hate,hate,hate
134,not_hate,not_hate,not_hate,not_hate
135,not_hate,not_hate,not_hate,not_hate
136,not_hate,not_hate,not_hate,not_hate
137,not_hate,not_hate,not_hate,not_hate
138,not_hate,not_hate,not_hate,not_hate
139,hate,hate,hate,not_hate
140,hate,hate,hate,not_hate
141,not_hate,not_hate,not_hate,not_hate
142,not_hate,not_hate,not_hate,not_hate
143,hate,hate,hate,hate
144,hate,hate,hate,hate
145,hate,hate,hate,hate
146,not_hate,not_hate,not_hate,not_hate
147,hate,hate,hate,hate
148,not_hate,not_hate,not_hate,not_hate
149,not_hate,not_hate,not_hate,hate
150,not_hate,not_hate,not_hate,not_hate
151,not_hate,not_hate,not_hate,not_hate
152,hate,hate,hate,hate
153,hate,hate,hate,not_hate
154,not_hate,not_hate,not_hate,not_hate
155,not_hate,not_hate,not_hate,not_hate
156,not_hate,not_hate,not_hate,not_hate
157,hate,hate,hate,hate
158,not_hate,not_hate,not_hate,not_hate
159,not_hate,not_hate,not_hate,not_hate
160,not_hate,not_hate,not_hate,not_hate
161,hate,hate,hate,hate
162,not_hate,not_hate,not_hate,hate
163,hate,hate,hate,not_hate
164,hate,hate,hate,hate
165,not_hate,not_hate,not_hate,not_hate
166,not_hate,not_hate,not_hate,not_hate
167,hate,hate,hate,hate
168,hate,hate,hate,not_hate
169,hate,hate,hate,hate
170,not_hate,not_hate,not_hate,not_hate
171,not_hate,not_hate,not_hate,not_hate
172,hate,hate,hate,hate
173,hate,hate,hate,hate
174,not_hate,not_hate,not_hate,not_hate
175,not_hate,not_hate,not_hate,not_hate
176,not_hate,not_hate,not_hate,not_hate
177,not_hate,not_hate,not_hate,hate
178,hate,hate,hate,hate
179,not_hate,not_hate,not_hate,not_hate
180,hate,hate,hate,hate
181,not_hate,not_hate,not_hate,not_hate
182,hate,hate,hate,hate
183,hate,hate,hate,hate
184,hate,hate,hate,hate
185,not_hate,not_hate,not_hate,not_hate
186,not_hate,not_hate,not_hate,not_hate
187,hate,hate,hate,hate
188,hate,hate,hate,not_hate
189,hate,hate,hate,hate
190,hate,hate,hate,hate
191,hate,hate,hate,hate
192,not_hate,not_hate,not_hate,hate
193,not_hate,not_hate,not_hate,not_hate
194,not_hate,not_hate,not_hate,not_hate
195,not_hate,not_hate,not_hate,not_hate
196,not_hate,not_hate,not_hate,not_hate
197,not_hate,not_hate,not_hate,not_hate
198,not_hate,not_hate,not_hate,not_hate
199,not_hate,not_hate,not_hate,not_hate
200,hate,hate,hate,hate
201,not_hate,not_hate,not_hate,not_hate
202,not_hate,not_hate,not_hate,not_hate
203,hate,hate,hate,not_hate
204,not_hate,not_hate,not_hate,not_hate
205,hate,hate,hate,hate
206,not_hate,not_hate,not_hate,hate
207,not_hate,not_hate,not_hate,not_hate
208,not_hate,not_hate,not_hate,not_hate
209,hate,hate,hate,hate
210,not_hate,not_hate,not_hate,not_hate
211,not_hate,not_hate,not_hate,not_hate
212,hate,hate,hate,hate
213,not_hate,not_hate,not_hate,not_hate
214,hate,hate,hate,hate
215,not_hate,not_hate,not_hate,not_hate
216,hate,hate,hate,hate
217,not_hate,not_hate,not_hate,not_hate
218,hate,hate,hate,hate
219,not_hate,not_hate,not_hate,not_hate
220,hate,hate,hate,not_hate
221,not_hate,not_hate,not_hate,not_hate
222,not_hate,not_hate,not_hate,not_hate
223,not_hate,not_hate,not_hate,not_hate
224,not_hate,not_hate,not_hate,not_hate
225,hate,hate,hate,hate
226,hate,hate,hate,hate
227,not_hate,not_hate,not_hate,not_hate
228,not_hate,not_hate,not_hate,not_hate
229,not_hate,not_hate,not_hate,hate
230,hate,hate,hate,hate
231,not_hate,not_hate,not_hate,not_hate
232,not_hate,not_hate,not_hate,not_hate
233,hate,hate,hate,hate
234,not_hate,not_hate,not_hate,not_hate
235,hate,hate,hate,hate
236,not_hate,not_hate,not_hate,not_hate
237,not_hate,not_hate,not_hate,not_hate
238,not_hate,not_hate,not_hate,not_hate
239,not_hate,not_hate,not_hate,not_hate
240,hate,hate,hate,hate
241,not_hate,not_hate,not_hate,not_hate
242,not_hate,not_hate,not_hate,not_hate
243,hate,hate,hate,hate
244,hate,hate,hate,hate
245,hate,hate,hate,not_hate
246,hate,hate,hate,hate
247,not_hate,not_hate,not_hate,not_hate
248,not_hate,not_hate,not_hate,not_hate
249,not_hate,not_hate,not_hate,hate
250,hate,hate,hate,not_hate
251,not_hate,not_hate,not_hate,not_hate
252,not_hate,not_hate,not_hate,hate
253,hate,hate,hate,hate
254,not_hate,not_hate,not_hate,not_hate
255,hate,hate,hate,hate
256,not_hate,not_hate,not_hate,not_hate
257,not_hate,not_hate,not_hate,not_hate
258,hate,hate,hate,not_hate
259,not_hate,not_hate,not_hate,not_hate
260,not_hate,not_hate,not_hate,not_hate
261,not_hate,not_hate,not_hate,not_hate
262,hate,hate,hate,not_hate
263,not_hate,not_hate,not_hate,not_hate
264,not_hate,not_hate,not_hate,not_hate
265,not_hate,not_hate,not_hate,not_hate
266,not_hate,not_hate,not_hate,not_hate
267,hate,hate,hate,hate
268,not_hate,not_hate,not_hate,not_hate
269,hate,hate,hate,hate
270,not_hate,not_hate,not_hate,not_hate
271,not_hate,not_hate,not_hate,not_hate
272,not_hate,not_hate,not_hate,not_hate
273,hate,hate,hate,not_hate
274,not_hate,not_hate,not_hate,not_hate
275,not_hate,not_hate,not_hate,not_hate
276,hate,hate,hate,not_hate
277,hate,hate,hate,hate
278,not_hate,not_hate,not_hate,not_hate
279,hate,hate,hate,hate
280,hate,hate,hate,hate
281,not_hate,not_hate,not_hate,hate
282,hate,hate,hate,hate
283,hate,hate,hate,not_hate
284,not_hate,not_hate,not_hate,hate
285,hate,hate,hate,hate
286,not_hate,not_hate,not_hate,not_hate
287,hate,hate,hate,hate
288,not_hate,not_hate,not_hate,not_hate
289,not_hate,not_hate,not_hate,not_hate
290,not_hate,not_hate,not_hate,not_hate
291,not_hate,not_hate,not_hate,not_hate
292,hate,hate,hate,hate
293,not_hate,not_hate,not_hate,not_hate
294,not_hate,not_hate,not_hate,not_hate
295,hate,hate,hate,hate
296,not_hate,not_hate,not_hate,not_hate
297,hate,hate,hate,hate
298,hate,hate,hate,hate
299,not_hate,not_hate,not_hate,not_hate
300,hate,hate,hate,not_hate
301,hate,hate,hate,not_hate
302,not_hate,not_hate,not_hate,not_hate
303,hate,hate,hate,not_hate
304,hate,hate,hate,not_hate
305,not_hate,not_hate,not_hate,not_hate
306,hate,hate,hate,hate
307,not_hate,not_hate,not_hate,not_hate
308,not_hate,not_hate,not_hate,not_hate
309,not_hate,not_hate,not_hate,not_hate
310,hate,hate,hate,not_hate
311,hate,hate,hate,not_hate
312,hate,hate,hate,hate
313,not_hate,not_hate,not_hate,not_hate
314,not_hate,not_hate,not_hate,not_hate
315,not_hate,not_hate,not_hate,not_hate
316,hate,hate,hate,not_hate
317,not_hate,not_hate,not_hate,not_hate
318,hate,hate,hate,hate
319,hate,hate,hate,hate
320,not_hate,not_hate,not_hate,not_hate
321,not_hate,not_hate,not_hate,not_hate
322,not_hate,not_hate,not_hate,not_hate
323,not_hate,not_hate,not_hate,not_hate
324,hate,hate,hate,hate
325,hate,hate,hate,hate
326,hate,hate,hate,hate
327,hate,hate,hate,hate
328,hate,hate,hate,hate
329,not_hate,not_hate,not_hate,not_hate
330,not_hate,not_hate,not_hate,not_hate
331,not_hate,not_hate,not_hate,not_hate
332,hate,hate,hate,hate
333,hate,hate,hate,hate
334,not_hate,not_hate,not_hate,not_hate
335,not_hate,not_hate,not_hate,not_hate
336,not_hate,not_hate,not_hate,not_hate
337,hate,hate,hate,not_hate
338,hate,hate,hate,hate
339,not_hate,not_hate,not_hate,not_hate
340,not_hate,not_hate,not_hate,hate
341,hate,hate,hate,hate
342,hate,hate,hate,hate
343,hate,hate,hate,hate
344,not_hate,not_hate,not_hate,not_hate
345,not_hate,not_hate,not_hate,not_hate
346,hate,hate,hate,hate
347,not_hate,not_hate,not_hate,not_hate
348,hate,hate,hate,hate
349,hate,hate,hate,hate
350,hate,hate,hate,hate
351,not_hate,not_hate,not_hate,not_hate
352,not_hate,not_hate,not_hate,not_hate
353,hate,hate,hate,not_hate
354,not_hate,not_hate,not_hate,not_hate
355,not_hate,not_hate,not_hate,not_hate
356,hate,hate,hate,not_hate
357,not_hate,not_hate,not_hate,not_hate
358,not_hate,not_hate,not_hate,not_hate
359,hate,hate,hate,hate
360,not_hate,not_hate,not_hate,hate
361,hate,hate,hate,not_hate
362,not_hate,not_hate,not_hate,not_hate
363,not_hate,not_hate,not_hate,not_hate
364,hate,hate,hate,hate
365,hate,hate,hate,hate
366,not_hate,not_hate,not_hate,not_hate
367,not_hate,not_hate,not_hate,not_hate
368,not_hate,not_hate,not_hate,not_hate
369,hate,hate,hate,hate
370,not_hate,not_hate,not_hate,not_hate
371,hate,hate,hate,hate
372,not_hate,not_hate,not_hate,not_hate
373,not_hate,not_hate,not_hate,hate
374,hate,hate,hate,not_hate
375,not_hate,not_hate,not_hate,not_hate
376,hate,hate,hate,not_hate
377,hate,hate,hate,hate
378,not_hate,not_hate,not_hate,not_hate
379,not_hate,not_hate,not_hate,not_hate
380,not_hate,not_hate,not_hate,not_hate
381,hate,hate,hate,hate
382,hate,hate,hate,hate
383,not_hate,not_hate,not_hate,not_hate
384,not_hate,not_hate,not_hate,not_hate
385,hate,hate,hate,hate
386,hate,hate,hate,hate
387,not_hate,not_hate,not_hate,not_hate
388,hate,hate,hate,hate
389,hate,hate,hate,hate
390,not_hate,not_hate,not_hate,hate
391,hate,hate,hate,hate
392,hate,hate,hate,not_hate
393,not_hate,not_hate,not_hate,hate
394,hate,hate,hate,hate
395,hate,hate,hate,hate
396,not_hate,not_hate,not_hate,not_hate
397,hate,hate,hate,not_hate
398,not_hate,not_hate,not_hate,hate
399,not_hate,not_hate,not_hate,hate
400,not_hate,not_hate,not_hate,not_hate
401,hate,hate,hate,hate
402,not_hate,not_hate,not_hate,not_hate
403,not_hate,not_hate,not_hate,not_hate
404,not_hate,not_hate,not_hate,not_hate
405,not_hate,not_hate,not_hate,not_hate
406,not_hate,not_hate,not_hate,not_hate
407,not_hate,not_hate,not_hate,not_hate
408,hate,hate,hate,not_hate
409,hate,hate,hate,not_hate
410,hate,hate,hate,not_hate
411,not_hate,not_hate,not_hate,not_hate
412,hate,hate,hate,not_hate
413,not_hate,not_hate,not_hate,hate
414,hate,hate,hate,hate
415,not_hate,not_hate,not_hate,not_hate
416,not_hate,not_hate,not_hate,not_hate
417,not_hate,not_hate,not_hate,not_hate
418,hate,hate,hate,hate
419,not_hate,not_hate,not_hate,not_hate
420,hate,hate,hate,hate
421,not_hate,not_hate,not_hate,not_hate
422,not_hate,not_hate,not_hate,not_hate
423,hate,hate,hate,hate
424,hate,hate,hate,not_hate
425,not_hate,not_hate,not_hate,not_hate
426,not_hate,not_hate,not_hate,not_hate
427,hate,hate,hate,hate
428,hate,hate,hate,hate
429,hate,hate,hate,not_hate
430,not_hate,not_hate,not_hate,not_hate
431,not_hate,not_hate,not_hate,not_hate
432,hate,hate,hate,hate
433,hate,hate,hate,hate
434,hate,hate,hate,not_hate
435,not_hate,not_hate,not_hate,not_hate
436,hate,hate,hate,hate
437,hate,hate,hate,hate
438,not_hate,not_hate,not_hate,not_hate
439,hate,hate,hate,hate
440,not_hate,not_hate,not_hate,not_hate
441,hate,hate,hate,hate
442,hate,hate,hate,hate
443,hate,hate,hate,not_hate
444,hate,hate,hate,hate
445,not_hate,not_hate,not_hate,not_hate
446,hate,hate,hate,not_hate
447,hate,hate,hate,hate
448,hate,hate,hate,hate
449,not_hate,not_hate,not_hate,not_hate
450,hate,hate,hate,hate
451,not_hate,not_hate,not_hate,not_hate
452,hate,hate,hate,hate
453,not_hate,not_hate,not_hate,not_hate
454,not_hate,not_hate,not_hate,not_hate
455,hate,hate,hate,hate
456,not_hate,not_hate,not_hate,not_hate
457,not_hate,not_hate,not_hate,not_hate
458,not_hate,not_hate,not_hate,not_hate
459,not_hate,not_hate,not_hate,not_hate
460,hate,hate,hate,hate
461,hate,hate,hate,not_hate
462,hate,hate,hate,hate
463,not_hate,not_hate,not_hate,not_hate
464,not_hate,not_hate,not_hate,not_hate
465,hate,hate,hate,not_hate
466,hate,hate,hate,not_hate
467,hate,hate,hate,hate
468,not_hate,not_hate,not_hate,not_hate
469,not_hate,not_hate,not_hate,not_hate
470,not_hate,not_hate,not_hate,not_hate
471,not_hate,not_hate,not_hate,not_hate
472,hate,hate,hate,hate
473,not_hate,not_hate,not_hate,hate
474,not_hate,not_hate,not_hate,hate
475,hate,hate,hate,not_hate
476,hate,hate,hate,not_hate
477,hate,hate,hate,hate
478,not_hate,not_hate,not_hate,hate
479,not_hate,not_hate,not_hate,not_hate
480,hate,hate,hate,hate
481,not_hate,not_hate,not_hate,hate
482,not_hate,not_hate,not_hate,not_hate
483,not_hate,not_hate,not_hate,not_hate
484,hate,hate,hate,not_hate
485,hate,hate,hate,hate
486,not_hate,not_hate,not_hate,not_hate
487,not_hate,not_hate,not_hate,not_hate
488,hate,hate,hate,hate
489,hate,hate,hate,hate
490,not_hate,not_hate,not_hate,not_hate
491,hate,hate,hate,hate
492,not_hate,not_hate,not_hate,not_hate
493,hate,hate,hate,hate
494,not_hate,not_hate,not_hate,not_hate
495,hate,hate,hate,hate
496,not_hate,not_hate,not_hate,not_hate
497,not_hate,not_hate,not_hate,not_hate
498,not_hate,not_hate,not_hate,not_hate
499,not_hate,not_hate,not_hate,not_hate
