,id,text,og_svm,mcad_svm,chatgpt_svm,flan_svm
14,2498,@simplecotton11 RT @realDonaldTrump Sanctuary Cities are against the Law. Please shut them down & arrest/prosecute all criminal Governors & Mayors. #USA #Americans #America #Constitution #EndSanctuaryCities #EndDACA #AmericaFirst #MAGA #Congress @GOP @Jim,0,1,0,0
15,5617,A woman reinforces the trope of women as hysterical while calling sexual assault allegations witch hunts (wrong all… https://t.co/bsKm80lf9L,0,1,0,0
16,1239,Two migrants die on boat left adrift by Libya coast guard: charity https://t.co/JhVtRHteat,1,1,1,1
17,1216,"China says cooperation with Iran ""justified, reasonable and lawful"" https://t.co/Cq1lOiRBuR",0,1,1,0
18,6750,@kirsttmccormick @alys_nettleton I feel like you've filled a hole in my heart alys where have you been all my life,1,1,1,1
19,34477,"@Sesien 😂😂😂 good one bitch.  I still fuck badder hoes than you , habesha bitches 🤔🤔.  Your irrelevant , bitch I kno… https://t.co/WMQsBe54rY",1,1,1,1
20,6410,@RepWilson How does a wretched ugly BITCH show joy at being a wretched bitch. Wilson crawl into ur hole & disappear,1,1,1,1
21,6864,Calling some one 'Dwight you ignorant slut' is the only thing that would make this day better https://t.co/13URMOg8w8,0,1,1,1
22,7468,"If you think you don't have a gag reflex, let me prove that you do...",1,1,1,0
23,31279,"Illegal Alien Repeatedly Raped Two Girls, Ages 8 and 10 less than #DeathPenalty will not be justice served!#BuildTheWallNow #DeportThemALL #BanSanctuaryCities#KeepChildrenSafe#KeepAmericaSafe",0,1,0,0
24,2684,"@FAIRImmigration @DailyCaller @justincaruso2 Hispanics are the hardest hit by Illegal Immigration it impacts their wages, jobs and communites as well as African Americans #WalkAway  #WalkAwayFromDemocrats",0,0,0,0
25,4595,@thepotlady 3000 voices waiting to be heard I didn't ask them if they were refugees as their tears did shred the hearts of a nation freethem,0,0,0,0
26,31772,Now it makes sense why they cast that dumb Bitch Lena Dunham. Her cunt ass looks like she would join a cult https://t.co/vfXiarDOv4,1,1,1,1
27,4770,Yo moma ah stupid bitch!!! For having a fake ass son acting gangster on twitter. https://t.co/BvQXwd0w7K,1,1,1,1
28,33881,"I 👀 acting like you happy, 👀 you like to pretend. You call that hoe yo baby and that bitch be calling you her friend. #IPeepedIt 👀👀👀👀",1,1,1,1
29,7790,I think it's clear who the best choice for president is.... Michael fucking Phelps,1,1,1,1
30,4998,Celibacy to women = Searching for new dick,0,1,0,0
31,2209,"According to Nigerian Immigration , twenty three trucks arrived Banki  yesterday with  refugees from Cameroon https://t.co/oUMEviV0Ds",0,1,0,0
32,5277,In space no one can hear you bitch,1,1,1,1
33,4663,Is #Spain facing a new wave of xenophobia over migrants? https://t.co/EsCfD9mCO4 https://t.co/mshczGPpzI,1,1,1,1
34,903,"Nice to see the guardian acknowledging that mass immigration destroys culture and a people's identity.  I sure that wasn't the intention of the article, but it is the truth.   https://t.co/SviRRI2Crm",0,0,0,0
35,2871,"Some idiots of the EU believe that refugees will not come if they help several countries in Africa. But its not a question of food or better life - its a question of the birthrate and overpopulation, which must stopped quick in Africa. https://t.co/MHa4AmJtEi",0,0,0,0
36,6388,@stephypoos87 ur cunt would be so wet as I fucked ur slut holes x,1,1,1,1
37,5144,@Brianwest1West @theNataliaSTARR @JillKassidyy Every woman deserves a BIG DICK!,1,1,1,1
38,512,ILLEGAL ALIEN CRIMEIs rampant in the first Sanctuary State 'Oregon'!These statistic are outrageous and should be construed to be a close poll of US states.@SpeakerRyan #NoAmnesty #NoDACA #DeportThemAll #ProtectUSCitizens,0,1,0,0
39,30905,@lindathomas102 @BreitbartNews Levi's use to be an American company. It is not nothing but a global socialist company that uses slave labor to make products. Then ship them back to America and charge outrageous inflated prices. I don't buy and want start now. #MAGA #DrainingTheSwamp #BuildThatWall,0,1,0,0
40,4121,Under Obama Illegal Aliens Claim Credible Fear at the Border once released into the US they never applied for Asylum - Deport ASAP  stop the #AsylumScam #Trump #MAGA #SendThemBack #Immigration #RedNationRising https://t.co/P5s2OaxbJj,0,1,0,0
41,34246,"How old is Asshole Eggsalad, like 20?    7 months, bitch    #BabyDriver https://t.co/ORMXCJlNK3",1,1,1,1
42,6370,I thought you had to fuck 20 different guys to be a hoe 🤔 so that explains why women fine someone better but still… https://t.co/1d9ZFHT3kE,1,1,0,1
43,3353,@afneil Could you please explain why you praised the research of an anti-Muslim  and anti-immigrant foundation linked to Orban's far-right government? https://t.co/K2SSaAcfw3 …  Or why you are hosting events at the Hungarian Embassy for this foundation? h,1,1,1,1
44,30471,Im sorry but i gotta revisit this. Wtf. That shit canoed like a bitch. I bet its a grape swisher 😭 https://t.co/NuoNnu75mi,1,1,1,1
45,4323,"@Trumpedup15 @HoopsPlayer1221 @conservmia @Megan4MAGA They are ILLEGALS, which means they are criminals. Nothing wrong with putting their butts in prison or better yet #DeportThemAll and #BuildThatWall",0,0,0,0
46,32651,@MadisonPOTUS4 @TMannWSJ How trump 'moves in like a bitch' with women,1,1,1,1
47,3207,Applaud the passing of labour hire licensing law! Migrant workers will have another layer of protection starting from 1 Jan 2019! Delivering For Victoria’s Vulnerable Workers https://t.co/azPMchlNMO via @danielandrewsmp,1,1,0,1
48,5880,I'd punch that cunt in the fuckin mouth. Idgaf if she's a woman https://t.co/eqCgr1hPbz,1,1,1,0
49,6451,What a glorious cunt you have. Too bad youre a basic bitch. Always were always will be. Stay mad. Hoe. #Imtalkingaboutadude 😂😂😂,1,1,1,1
50,1220,"I grew up on a rough council estate back in the 70's, that dont make me special it makes me able to say this..LABOUR now detest the white working class and any other colour working class in favour of the immigrant vote and they should be reviled for what they have done to Britain",0,0,0,1
51,5813,"There was a time in my life when i really enjoyed talking to girls, now i hope they all get cancer #WomenSuck",1,1,1,1
52,31850,@melaniecuco Bitch ass😂😂😂😂 hop off ceyduh & jay's dick hoe. The bitch you defending isn't even talking anymore SKKURTTT,1,1,1,1
53,8530,Drinking and getting high with lil sis only love her and my mother on God you bitch only women i need in my life and I'm fine with it,1,1,1,0
54,32597,Which judge's hands is this Officer's blood on? #DeportThemAll,1,1,0,1
55,6295,@Ronnie2K FUCK YOU STUPID BITCH,1,1,1,1
56,5943,MegynKelly is skank. Whore paid $$ for what? Only thing left to watch on .@nbc anymore is SNL. More truth to them t… https://t.co/Z6ZJWR2N0V,1,1,1,0
57,4168,"@LtGovDelhi Delhi in last 3-4 yrs have become slum city. Nobody follow Traffic rules,All pavements have been encroached upon.Illegal constructions across Yumuna go unabated. Influx of illegal migrants have increased.Crime Rate on increase",0,1,0,0
58,5248,Most men are too scared to choke a bitch properly... I never feel like I'm choking them hard enough,1,1,1,1
59,4368,Did this woman and child drown because the EU-backed Libyan coastguard scuttled their boat after they refused to return to Libya with a coastguard that returns all intercepted refugees and migrants to inhumane detention centers? @openarms_fund https://t.co/HkeVFsVVYW https://t.co/XpxmgIfCnk,0,1,0,0
60,30710,Whoever's just hacked my bnet i hope you die in a ditch bitch,1,1,1,1
61,3326,"""We are above the law"" - migrants throw garbage at Rome's ancient sites - Free Speech Time - https://t.co/rP8ARFjmV0 @ISupport_Israel",0,1,0,0
62,3374,"We must dismantle myths that excuse hateful immigration policies and harsh enforcement. The truth is that immigrants are a benefit to our communities, not a burden. And the essential truth is that they are people, and our moral duty is to welcome. https://t.co/1AYQLLQHnO",0,0,0,0
63,31562,I'm so excited to get new glasses bc I'm a whole new bitch with new glasses,1,1,1,1
64,3958,Pleased today to be addressing #Mekong #Migration Network meeting in #ChiangMai to present @hrw's findings on continued use of forced labor in #Thailand's fishing industry. Rights respecting reforms still needed from Thai gov't! @mekongmigration @eu_eeas https://t.co/dJJkX3ruvw,1,1,0,1
65,32754,"""#Navy rescued #Manchester bomber Salman Abedi from war-torn #Libya three years before deadly terror attack via @telegraphnewsthe #WEST is """"rescuing"""" people that will #kill them.#SendThemHome #bombing #attack Have some dignity and throw them out""",1,1,1,1
66,31072,@Hoe_YouAshy friends ? that's my BLOOD brother bitch .. he in yo city !! i'm hours away . ill be through there tomo… https://t.co/NeBRhRGzp1,1,1,1,1
67,2136,@NoToTurkey Cameron is a coward he attacks the poor yet again because of immigration the numbers don't add up we need to get out now,0,1,1,0
68,848,#WomenDisobey Activist  Illegal immigration hurts black men most https://t.co/hAtvUHLyW9 via @YouTube,0,1,0,0
69,623,@chucktodd @MSNBC @SenatorLankford Reunification is the wrong word - never should done this - because always more illigal refugees will come. They have to brought back to the border without food with or without children quick.,0,0,0,0
70,8929,Guilty: Man did rape woman on Darlington riverbank https://t.co/fZtcevTJI9,0,1,0,0
71,7265,When the DJ plays your joint and the whole crew gets lit https://t.co/e6nArPtBzr,1,1,1,1
72,8705,@WildeFreedom @CNNPolitics Really do tell! Hysterical? Strange tweet you got there. Hysterical is supporting POS #4… https://t.co/Cr9z3LZqT0,0,1,0,0
73,4043,"As new immigrants, my parents were very strict about where we could go on our own: @brooklynmuseum (loved the mummies), @BrooklynBotanic, and @BKLYNlibrary Grand Army Plaza. Close to home; We went every week! https://t.co/Kl9oezsh1v",1,0,0,0
74,1594,@volvocars thanks for ruining a beloved song from “The Sound of Music” by using that extremely creepy electronic version in your commercial.  Shame on you.,1,1,0,0
75,2976,"“If you want to manage migration and if you want to prevent further security threats there is one single place where you have to invest all your political, economic and diplomatic efforts and that is the belt of the Sahel and the Horn of Africa” https://t.co/LFNiGiUDdd",0,0,0,0
76,32152,@realDonaldTrump @FoxNews Mad Max is a whined up doll. The same saying is repeated. Does she even care that the American People are striving with our booming economy. #MAGA #DrainTheSwamp #BuildThatWall,1,1,1,0
77,32417,"But if you believe Robert Francis @BetoORourke , there are only hapless women & children sneaking (ILLEGALLY) across our border. #BuildThatWall @tedcruz #CruzCrew5 Sexual Predators Arrested Attempting to Re-Enter U.S. from Mexico via @BreitbartNews",0,1,0,0
78,5645,Women want everything to be 50/50 but then they make 100% of the Ghostbusters FEMALE. wtf!!!,0,0,0,0
79,34517,@inessalyn bitch till when tomorrow. you thought hoe,1,1,1,1
80,30916,That trophy hunter is one son of a bitch. What a cunt https://t.co/cJWgZlCT1T,1,1,1,1
81,32262,@RealKyleMorris @non99402819 Shut the fuck up ! #BuildThatWall,1,1,0,0
82,2701,@RyanAFournier While ruling a quarter of the Earth the British still lived on an Island the size of Michigan? The primary migration out of the UK was what created the USA/Canada/Australia/NewZealand as known today?,0,0,0,0
83,30552,This fuck is a weak cunt and puy his fellow country men in a bad way with the rapefugee invasion. Deport THEM ALL.,1,1,1,1
84,4207,"This community won't let go of Weinstein like he's still rich enough for Dems cash it seems....I wish to hear more globalist celebs adopt more immigrants/refugees, the children in poverty still have their parents to take care of them.... https://t.co/46y90jjeoH",0,0,0,0
85,6001,@thehill @HillaryClinton always trying to wear the pants in the family. #GetBackInTheKitchen,0,1,0,0
86,4790,Shut up bitch and suck my cock https://t.co/thFk4yNVEx,1,1,1,1
87,32323,@notwokieleaks His whole argument is that it wasn't that bad because mostly gay people died from it. He's a cunt.,1,1,1,1
88,31644,#BuildTheWallNow Before the Midterm elections @potus @realDonaldTrump @vp @SenateMajLdr #MAGA #MakeDCListen #NoAmnesty #NoDACAdeal #MandateEverify #EndChainMigration,1,1,1,1
89,4695,@JoeNBC The cowards are the corrupt establishment. Trump and the American working class will win over the D.C. establishment. #MAGA #Kavanaugh #walkaway #burtreynolds #BuildThatWall @realDonaldTrump @RealJamesWoods @IngrahamAngle @DonaldJTrumpJr @LouDobbs,1,1,1,1
90,7177,RT @tasteslikesarc: I bet a lot of people's therapists are dying to meet me just to see if the stories are true.,1,1,1,0
91,6570,not jacking off to hentai mind you my cock been dead for days but busy reading!,1,1,1,1
92,651,Sweden is an open country. For refugeeshousing they spend 32 MIO.USD. 3 houses for 3 wifes with 16 kids Sweden give for an islamist. https://t.co/JGuugAmvzX,1,1,0,1
93,8193,"For all the cougars that keep hitting me up to fuck... You're out of my age range, hit this dude up instead https://t.co/2HgFCVx4C5",1,1,1,1
94,6157,@Stanwhu1 @Baz1980WHU @torrid_times She is a filthy whore cunt. Didnt change her own name when she got married but… https://t.co/Doxz0F77h7,1,1,1,1
95,6495,French MPs are demanding changes to the law on child rape after prosecutors ruled that an 11yr-old girl consented to sex with a man aged 28.,0,1,0,0
96,8017,"@MollyReid_ I bet you were, you SKANK! 😭",1,1,1,1
97,32571,"Thank you so much for this link, Lisa.I''ve suspected 4 awhile that the Zionist #Globalists were orchestrating the rapefugeeinvasion of #Europe . Even as nationalismseems 2 be gaining some momentum, I'mvery concerned that they too have beenco-opted by Bolshevik Zionism.",0,0,0,0
98,4719,"Don't speak bitch,just Die Die Die Why can't you go bye bye bye? Cause I will take your life away So turn around and just shut the fuck up!""",0,1,1,1
99,4809,@the_holycannoli @sandbucket04 I’m the big dick motherfuckin bitch hoe https://t.co/tx2KTMO1AG,1,1,1,1
100,8482,A little theory I’m working on. If there’s a voice in your spirit compelling you to say #notallmen #notallwomen… https://t.co/wCx3t7wvVZ,1,1,1,0
101,3252,"@driverminnie @realDonaldTrump I'm British and I would welcome him into my home! You do not speak for the British....and funnily enough you didn't speak out previously about detaining illegal immigrant families under all 8 years of Obama rule, you virue s",0,0,0,0
102,3064,Sweden is Becoming More and More Segregated as a Result of Mass Non-White Immigration https://t.co/EDxxDOC7NB via @WhiteResister,0,0,0,0
103,8906,"@MoncaMonii I would enjoy standing back to watch you suck cocks and swallow huge loads of cum, while you're helpless. As you suck each cock I'll finger your pussy until you cum, while you choke on cocks and cum! When I do take you home, you'll be exhauste",0,1,1,1
104,33530,@kingbws @Samkingftw I'll stop being a bitch when you stop being a thirsty hoe,1,1,1,0
105,1473,@AddisTarik I agree with you. Who ever facilities the logistics and other facility shouldn't be us paying for it. They are burden on us sacking in our resources that is my point. #Eritrea refugees should go back because their country is not on war footing,0,0,1,0
106,6991,@MasalaBai @saileenas @betwasharma Glaring deficiencies in healthcare ignored. Building stupid Ram mandir and statues are given prominence. UP is suffering from Sangh poison,1,1,1,1
107,2828,Illegal Immigrant Beheads 13-Year-Old Girl  after he forces her to watch Grandmothers Murder  this is what @SenateDems Support Killing by Illegals as they protect them in #SanctuaryCities  #Trump #MAGA @FoxNews  Media Blackout https://t.co/fNjjo728lq via @yournewswire,0,1,1,1
108,2623,CNN 8:53am NON-PROFIT ORGANIZATIONS LEAD CHARGE TO REUNITE FAMILIES. . Catholic Charities reunites immigrant children with deported...,0,1,0,0
109,947,@amnesty International tells #Botswana to spare #refugees https://t.co/K5yHmAHvMb #Withrefugees @AmnestyKenya @nyamoriv @tyrusmaina @drchorn_africaY @Refugees @ReDSS_HoAY,0,1,0,0
110,2486,#nonSense we do not want this in US. #MuslimBan no people from these countries should be allowed without proper vetting. It is really scary imagine #ShariaLaw#EndDiversity#EndChainMigration,0,0,0,0
111,30758,"I crack up when whores say ""I have 15k followers I can't respond 2 every1"". Bitch @TheSophieJames closing in on 100… https://t.co/jSH6xyh9Cl",0,1,0,0
112,451,Crazy warminister von der Leyen thinks that weapons will bring peace in Mali or Niger and less refugees. Never weapons will bring peace. https://t.co/hhVXbPLOTQ,0,1,0,0
113,6289,SHUT UP THE FUCK YOU SLUT!,0,1,1,0
114,8762,Lovely that apparently Twitter has a problem with the word CUNT or they just didn’t appreciate real Islamic information. Murder and Rape,0,1,1,0
115,2447,"//'We will send back the illegal immigrants to Bangladesh. Tough days are ahead, we will not tolerate any illegal immigrants in Bengal.'With these statements, West Bengal... https://t.co/bphdib4fKF",0,0,0,0
116,6432,@Cumkitten_R2 your fucken hot im hot fuck hard do anything you want to be my slut whore and open your holes you HOT SLUT. WE LOVE TO FUCK,1,1,1,1
117,7505,When you're trying to enjoy a nice date but your boyfriend won't stop texting you and interrupting it https://t.co/g2ZGvzDOed,1,1,1,0
118,4361,"EU games never endðŸ‘‰More useless slogans from Brussels, which is an international embarrassment due to unwillingness to defend ext. borders. One cannot “manage” illegal migration by showering Tunisia/Morocco w-euros but refusing to seal border, deny entry or deport out of Europe. https://t.co/RBW5WkA4tn",0,1,0,0
119,6356,"Get ready to see all the hoe bunnies, slut kitties, and whore mice post themselves on this Halloween night.",0,1,1,1
120,4506,"Mad Keji busy in creating vote bank.Entire Delhi stink of encroachments by illegal migrants,hawkers,bad roads,leaking sewers.Jhugis everywhr",0,1,0,0
121,31596,on bd yo nigga a hoe — on me you a bitch  https://t.co/S70bKxE2yL,1,1,1,1
122,30883,"yeah, she says that until some #rapefugee boots walks all over her. note, that is #racist of her to wish for the demise of a race. its not ok.",1,1,0,1
123,6315,@XOKATANA We have to slap a bitch made hoe ass foo we gon make it look sessy hahaha,0,1,1,0
124,1560,New U.S. Policy Raises Risk of Deportation for Immigrant Victims of Trafficking https://t.co/hdQQYj1ub5,1,1,0,0
125,4160,"Woman is undocumented immigrant, whose veteran husband voted for Trump ( why would you do that?) She ends up getting deported and has paid $20k and counting in lawyer fees...sounds about right https://t.co/y1LwgJbmLY",1,1,1,1
126,33386,You mad you a easy hoe a nigga can say some nice and you in love 😒 bitch,1,1,1,1
127,34400,@realDonaldTrump Bitch you're such a hoe.,1,1,1,1
128,549,Gut-wrenching piece on how some Syrian refugee children have been sold into sham marriages for rape: https://t.co/dh0idFCS7V,1,1,0,1
129,30306,"@ChrisGorham YUP!!If you said nothing while Obama caged kids, you have no room to complain now. Maybe you should focus your ire on the criminals creating the problem instead of the LEOs enforcing the law.#BuildThatWall",1,0,1,1
130,4832,i use to get sky at my dads house but his whore girlfriend never use to let me watch it,1,1,1,1
131,8456,@DonaldJTrumpJr You said it. Let's see how that works when you're wearing handcuffs. I noticed Eric is quiet and so is that skank Conway.,1,1,1,1
132,34096,"@1Romans58 @gatewaypundit Don't tell me this isn't a damn invasion! BUILD THE WALL NOW! Give the president the funding, immediately. Enough is enough! Do your jobs! Protect America!#BuildThatWall #BuildThatWallNow @POTUS @VP @WhiteHouse @SpeakerRyan @SenateMajLdr @SenateGOP @HouseGOP",0,1,1,1
133,3342,Russia Liquidates Its US Treasury Holdings | Zero Hedge https://t.co/9dcD7gnpCJ   No surprise here...,0,1,0,0
134,33417,"@OnlineMagazin She is friend with an African? I bet she was and is still pro-rapefugee. Otherwise you aren't standing there with an African beside you. Sorry, but you wanted this. You are now afraid. I don't care for traitors like you, who did nothing when things could have changed. Bye bye.",1,1,1,1
135,9049,@SenKamalaHarris I think @CoryBooker was a more hysterical woman than you. But it was close,1,1,0,0
136,34318,"@__SillyME I be baffled bitches quick to say "" you fucked this n that""  😂😂you a hoe you a freak bitch 😂😂 https://t.co/BGR5P6tbSD",1,1,1,1
137,8191,When you regret asking her 'what that mouth do?' https://t.co/V9oZlclhcl,1,1,1,1
138,3401,You can take action by calling the White House ‘“ 202-456-1111 and your congressional representative. #refugeeswelcome #withrefugees #wewelcomerefugees https://t.co/lWOv27Hps7‘¦/pol‘¦/trump-refugees-reduction.html,1,1,1,1
139,30873,"Any bitch who feels comfortable to be in your face and talk to a nigga you use to fuck with call them hoes ""seconds"" better yet clowns.",1,1,1,1
140,33280,Fuck i'm drunk but if you meet a mf by the name of tanner parry at any bars by all means fight that bitch he's a hoe ass motherfucker,1,1,1,1
141,31897,minseok really is that bitch he stole the whole show,1,1,1,1
142,31011,@NicMcCunty2 @mancbouncer Now nic bitch he proper dribbling stoopid,1,1,1,1
143,7844,@_celia_marie_ Whore? Really? Why don't you have some respect for women you asshole!,1,1,1,1
144,8615,Conte being a little bitch as per. Get sacked already you average cunt 🖕🏻,1,1,1,1
145,7308,Me after The Walking Dead season finale https://t.co/oGyqTsunXA,1,1,1,1
146,31973,Where are the Women and Children the Dems are always Bitchin about? #NoIllegals #NoDACA #NoChainMigration #AmericanPeopleFirst,0,0,0,0
147,7322,I'm not the one to let people profit on my back... I'll break yours and take what's mine 😘,0,0,0,0
148,8653,"I called my ex wife a cunt all the time. She acted like I just called her a ""dork"" or something. White women are stupid.",1,1,1,1
149,2455,@edinaszalaii @Veronic15208532 @MattQuigley @georgesoros If you think financing breaking down borders &amp; flooding the world with economic migrants is going to help wages may I suggest you are seriously deluded.,1,1,0,1
150,9004,"@regular56 There are some wins that will make u go hysterical. Some makes you happy but same time you are sad, beco… https://t.co/NBmQnbcf2v",0,0,0,0
151,31493,"The real problem is illegal immigration and if Cristhian Bahena Rivera wasnt in our country, Mollie would be alive today. #MollieTibbets #dummycratoftheweek #justiceforMollie #ElizabethWarren #IllegalAliens",0,1,0,0
152,8825,@JPunx999 for you! Cuz no one else cares when I post it but I'm pretty sure you like it. Get your skank on!,1,1,1,1
153,7916,@Beachlovin82 @abc15 You're aware that not all men like women right? Get out of your bubble,0,1,1,1
154,6926,I hate when people looking at you with their bag on the train seat like yes stupid ho I want the seat,0,1,1,0
155,33682,@amorxus_ The bitch is crazy I hate this whore so much irl and in rp,1,1,1,1
156,6865,@WolfFace_Dre LMAOOOO BITCH IM THE NOLA BRUCE-CAITLYNN JENNER BITCH I PICCS WHEN I WANT HOE ..luv ya hope ya had fun,1,1,1,1
157,8181,When she's a squirter but you bout that life https://t.co/MR1j6nJBFO,1,1,1,1
158,8416,Also.. 'not all men' realize what they're doing when they're doing it. You don't have to be a rapist to make someon… https://t.co/SxHYUXTTSU,0,0,0,0
159,3685,We want to help immigrants reach their homes Many illegals dont have means to go back. By deporting them &amp; providing them a way to get home we're helping thousands of them get back to their extended families. If u are against deportation u are for separating families. #LibTactics,0,0,0,0
160,8922,"You wouldn't know this @AnnCoulter but historically, hysterical women are the ones with spines",0,1,0,0
161,9110,"@_EraX_ da fuck, you said if someone calls you hot 1 more time , you are gonna suck their dick, so do it you pussy, don't back off now",1,1,1,1
162,7627,Life's too short to be giving people second chances,1,1,0,1
163,7688,Talent- Meeting up with complete strangers for sex,1,1,0,0
164,4716,like damn bitch if youre hungry shut the fuck up and eat im trying to sleep!!!,1,1,1,0
165,476,The Latest: #UK jury convicts jet ski migrant smugglers https://t.co/foAUUKNXXi https://t.co/c5MoHvFUsJ,1,1,0,0
166,34152,"@CNN What a Asshole..Trump you lieing ""Bitch..",1,1,1,1
167,6401,@bigshitxtalker Lmfao weaaak. Coming from the bitch that ain't got pictures. Go back to your hole 🙄,1,1,1,1
168,5994,@TayrnG @WhiteHouse You are a stupid idiot. F U. NASTY TRASY SKANK,1,1,1,1
169,8947,"@thehill Hysterical woman is the new Nasty woman, we will make a hat for that.",0,0,0,0
170,555,Still no end in sight for Africa’s #refugee crisis https://t.co/pDHOF9iptF via @ISSAfrica #WithRefugees @drchorn_africaY @ReDSS_HoAY @NRC_HoA @AmnestyKenya @imaana102,1,1,1,1
171,3797,He should get the full prison term when found quilty #Trump #MAGA #Immigration https://t.co/0FGHGXAZJ6 via @expressnews,1,1,1,1
172,5315,For an anon calling me a “whore” you should look at yourself first. If you want to call me a “whore” take... https://t.co/2zdADVWWsH,1,1,1,1
173,32230,"@ytrapehterehw niggas be eating sleep for dinner cause he feeding a bitch that ain’t letting him in the same vicinity as the box, smh",1,1,1,1
174,2488,Lawyers Defending Immigrant Children In Detention Are Relying On A Court Case From The 1980s https://t.co/LnjALbatzK https://t.co/g29r8RzKCm,1,1,0,0
175,4619,"“How safe Afghanistan is!” said Afghanistan’s minister of refugees and repatriation, with obvious sarcasm. “Ask those Norwegian diplomats if Kabul is so safe, is there anywhere outside your embassy where you can go to safely?” https://t.co/qE2DpHPsdB",1,1,1,1
176,8080,It's about denial. And acting like I'm her hysterical lover when she is clearly the psycho stan of a random Bengali girl like me.,1,1,1,1
177,8638,@Rosie @Shakestweetz sometimes WOMEN are stupid too! Majority of white women voted for a sexist misogynist pig!,0,1,0,0
178,2994,"UN knew years ago about refugee sex-for-food scandal, leaked report reveals https://t.co/1OSIcSOLY0 https://t.co/jG5xWi3GEq",1,1,0,1
179,30656,"Bitch was like ""did you know youre supposed to eat the tamale on its own?"" IT'S AN HALLACA YOU WHORE https://t.co/oYr0AwbKRZ",1,1,1,1
180,4765,"@LisaBloom YOU ARE NO CHAMPION FOR WOMEN! YOU'RE A GREEDY, OPPORTUNISTIC ATTENTION WHORE! You should never work in law again! #weinsteinGate https://t.co/Cd9vgXDoZQ",1,1,1,1
181,6249,"@womensmarch White woman by no means a victim she is the epitome of wickedness & rape of Black people, her hands mo… https://t.co/7T0mqKzShJ",0,1,1,1
182,3780,make up your mind your going to take their benefits away so r u going to do the same to the young migrants punish ur own and let off others,0,0,0,0
183,5238,Call me daddy while you're choking on my cock,1,1,1,1
184,1496,"This year, we launched a new blog series called Frontline Reports to provide updates on the countries in which we work as they continue to evolve. Recently we outlined the family strengthening programs serving Syrian refugees in Jordan. Read more âž_x009d_ https://t.co/4CVC2L1hVH https://t.co/4jyNleYHpC",1,0,0,0
185,4541,@gsiskind Battle? More like another temper tantrum #DeportThemAll #NoDACA #BuildTheWall #IllegalAliens #IDontCare #MAGA #Trump2020,0,1,1,1
186,31487,"""#Children and #Women Are No Longer Safe Where There many """"#asylum"""" seekers, #IllegalAliens, or just #MassImmigration. The Nations of #Europe need to #BuildTheWall and fix #immigration LAWS NOW.""",0,0,0,0
187,5424,"There is a big reason you are lonely and it’s because you are such a fricken whore that no man can trust or respect you, so stop bitchin’",1,1,1,1
188,30737,"@Jim_Jordan @Jim_Jordan is right, #DoWhatWeSaid! #BuildThatWall",1,1,1,1
189,34402,@GerekWright @tylerthecreator Lmao! Bitch SHUT UP! I'll fucking finesse your jaw hoe!,1,1,1,1
190,34502,@RicVaDude Especially CA!?! Please!!!!!! #ICE #USCitizensOnlyVOTE#Illegals met with #ICEAgents & arrested & deported permanently!?! #BuildTheDamnWall #NoDACA #NoDEMS New Ppl ONLY!?!,0,0,0,0
191,7951,"Women are telling their stories of being assaulted & instead of listening to them, you wanna go 'not all men! I'm g… https://t.co/sLZ6yAWImh",0,1,0,0
192,2380,"Hungary's New laws target Muslim migrants ""to preserve Christian culture of Europe"" - Free Speech Time - https://t.co/gm1G7GraN4 @ISupport_Israel",1,1,0,0
