,id,text,class,chatGPT_few_default_1,chatGPT_few_default_2,chatGPT_zero_default_1,chatGPT_zero_default_2,chatGPT_zero_specific_1,chatGPT_zero_specific_2,chatGPT_few_specific_1,chatGPT_few_specific_2,chatGPT_counterfactual_default_1,chatGPT_counterfactual_default_2,chatGPT_counterfactual_specific_1,chatGPT_counterfactual_specific_2,id_y,class_y,flan_xl_few_default_1,flan_xl_few_default_2,flan_xl_few_default_3,flan_xl_zero_default_1,flan_xl_zero_default_2,flan_xl_zero_default_3,flan_xl_zero_specific_1,flan_xl_zero_specific_2,flan_xl_zero_specific_3,flan_xl_few_specific_1,flan_xl_few_specific_2,flan_xl_few_specific_3,flan_xl_counterfactual_default_1,flan_xl_counterfactual_default_2,flan_xl_counterfactual_default_3,flan_xl_counterfactual_specific_1,flan_xl_counterfactual_specific_2,flan_xl_counterfactual_specific_3
10,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64",This gay couple’s neighbor has torched their car &amp; tried to shoot them. Police won’t help them. #Resist #ResistTrump #FuckTrump https://t.co/LQQaKDVrYe,1,1,1,1,1,1,1,1,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64",National Cathedral Leaders Humiliate Trump By Condemning His Racism #Resist #ResistTrump #FuckTrump ,0,1,1,1,1,1,1,1,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64","If4England #Ashes is more Important than #WorldCup2019,Then No More  @ICC Games will be played in England? Is England still looksUganda as d facilities seems! #ShameOnICC Cheating dFans!Surprisingly, No Eng,Aus WashOut sofar? Unfair Advantage, still Gentlemans Game",0,3,0,0,1,0,0,3,0,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64","The replies to this tweet illustrate the difference between Facebook and twitter in Tennessee. 😃😃😃 also, #FuckTrump. https://t.co/s1TtVX2nyR",0,0,3,3,0,0,0,0,3,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64","@The_Trump_Train @realDonaldTrump Try again, #bot  #MAGA2020 #FUCKINGTRAITORS #TrumpSupportersAreFuckingMorons #TrumpIsATraitor #TrumpSupportersAreTraitors #TrumpsAnInternationalDisgrace #TrumpRussia #FuckTrump #LockThemAllUp #MAGAS are an embarrassment to this country. https://t.co/VJNw7FueQd",0,1,1,1,1,1,1,1,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64",Official press release of #SaveTheSaviours movement. These are the demands for resuming all duties.     #DoctorsFightBack #Savethedoctors #SaveTheSaviours https://t.co/2XC4BjnnRI,0,0,0,0,0,0,0,0,0,3,0,0,0,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64",Doctors wearing black badge protest at MGM Medical College and Hospital in Jamshedpur for #WestBengal issue  #DoctorsFightBack,0,0,0,0,0,0,0,0,0,0,1,0,0,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64","@MattHancock - “MY job first, MY party second, MY country third”  - #thatsall #nothingtoseehere #nointegrity #BREXIT #matthancock #leadershipdebate #leadershiphustings #BorisJohnsonShouldNotBePM #boristrump",0,0,3,0,0,0,0,0,0,1,1,0,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64","Trump told the American people he had nothing to do w Russia, all while negotiating a major real estate deal in Moscow that would've req'd the support of Putin &amp; lifting of U.S. sanctions against Russia. Now, the investigation is over &amp; Trump blatantly admitted to it.  #FuckTrump",0,0,0,3,0,0,0,0,1,1,1,1,0,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
19,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64",Wow u jumped in as joker...do u think u can dictate things. If u want to be real secular then stop writing Halala on food and then say 'food has no religion'..  Don't push ur world view on all of us,0,1,1,1,1,1,1,1,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 250, dtype: int64",I would like to un-welcome @_REALOJ32 to twitter and since I’ve already #InstaBlocked him.  Please reply to all his tweets with #Murderer,0,1,3,1,1,1,1,1,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"1534    1534
1778    1778
958      958
3059    3059
6366    6366
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 229, dtype: int64",#BorisJohnson isn't daft- he wasn't on #C4Debate and he didn't attend the Q&amp;A because no-one involved in either of those has any say in the vote... He thinks he's already won #BorisJohnsonShouldNotBePM https://t.co/HOGq9wz56I,1,0,0,0,0,0,0,0,0,0,0,0,0,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"1534    1534
1778    1778
958      958
3059    3059
6366    6366
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 229, dtype: int64",Hi Dear @ICC Mumbai too is ready for your kind of #WorldCup2019   Just FYI     #CWC19 #CricketKaCrown #WashoutWorldCup #ShameOnICC https://t.co/vRSWvj1ENL,0,0,0,0,0,0,0,0,0,0,0,0,0,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"1534    1534
1778    1778
958      958
3059    3059
6366    6366
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 229, dtype: int64",Doctors at #Cuttack district headquarters hospital wear black badges to express solidarity with their counterparts protesting violence against some junior doctors in West Bengal #DoctorsFightBack #DoctorsStrike https://t.co/EX35msTNVJ,0,0,3,0,0,0,0,0,0,0,0,0,0,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"1534    1534
1778    1778
958      958
3059    3059
6366    6366
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 229, dtype: int64","I have no doubt my mental well being has been affected by what my country is turning into. It makes me sick. I had no idea how many stupid, racist evil people live in this country. #fucktrump",0,1,1,1,1,1,3,1,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,"1534    1534
1778    1778
958      958
3059    3059
6366    6366
        ... 
3082    3082
4032    4032
6749    6749
2552    2552
5682    5682
Name: id, Length: 229, dtype: int64",No it isn't and no you don't you lying swine. You are a self serving buffoon and you're here to suck up to your fellow corrupt 'politicians' in the DUP until you're in a position to throw them under a bus.,0,1,1,1,1,1,1,1,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,"387      387
6310    6310
1982    1982
1565    1565
4483    4483
        ... 
6491    6491
344      344
6139    6139
142      142
6381    6381
Name: id, Length: 74, dtype: int64","#Rangzen people, #watchout for this fake activist from sabotaging our #FreeTibet movement.     #Tibetans #humanrights #BoycottChina #Dharamsala #March10 #Tibetan #DalaiLama #TibetCause https://t.co/lbwCJDmVYN",0,1,3,0,1,1,1,1,0,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"387      387
6310    6310
1982    1982
1565    1565
4483    4483
        ... 
6491    6491
344      344
6139    6139
142      142
6381    6381
Name: id, Length: 74, dtype: int64",I think it's due to folk not understanding the history or even knowing N.I.,0,0,0,0,0,0,0,0,0,0,3,0,0,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"387      387
6310    6310
1982    1982
1565    1565
4483    4483
        ... 
6491    6491
344      344
6139    6139
142      142
6381    6381
Name: id, Length: 74, dtype: int64",@maydaymindy9 @melpriceHB Definitely not alone!! I want my normal life back!! Want to stress about normal shit not this stuff. Im drained but still resisting!! #HappyJohnMcCainDay2019 #FuckTrump,0,0,0,1,1,3,0,0,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"387      387
6310    6310
1982    1982
1565    1565
4483    4483
        ... 
6491    6491
344      344
6139    6139
142      142
6381    6381
Name: id, Length: 74, dtype: int64",@ICC @bcci @msdhoni #DhoniKeepsTheGlove     If u can allow namaz on ground    If u allow save gaza band    If u allow salute on ground    Then whats wrong in balidaan badge    R u a fool icc or its clear u hv double standard u r not keeping ur words    World doesn't need icc,1,3,1,1,1,1,1,0,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"387      387
6310    6310
1982    1982
1565    1565
4483    4483
        ... 
6491    6491
344      344
6139    6139
142      142
6381    6381
Name: id, Length: 74, dtype: int64",Boris Johnson on Gordon Brown becoming Prime Minister     This mans HYPOCRISY is unbelievable     #borisjohnsonisaclown #BorisJohnsonShouldNotBePM   #FBPE https://t.co/PDx83vd7uz,1,0,0,1,1,1,1,0,0,1,0,0,3,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"387      387
6310    6310
1982    1982
1565    1565
4483    4483
        ... 
6491    6491
344      344
6139    6139
142      142
6381    6381
Name: id, Length: 74, dtype: int64",@petertimmins3 I don't think it's a case of him not daring to appear but of his minders knowing what a risk it is every time he opens his mouth. Who will control him if he becomes PM? #BorisJohnsonShouldNotBePM,1,0,0,0,0,0,0,0,0,0,0,0,0,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"387      387
6310    6310
1982    1982
1565    1565
4483    4483
        ... 
6491    6491
344      344
6139    6139
142      142
6381    6381
Name: id, Length: 74, dtype: int64","What a shameful @ICC @cricketworldcup .  You dont have any problem with the logo’s of drinks, tobacco , cold drinks , Whichever is injurious to health but an INDIAN Balidan badge is a problem for u... Strange isn’t it ? #DhoniKeepsTheGlove #DhoniKeSaathDesh @BCCI @msdhoni",1,0,0,1,1,0,0,1,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"387      387
6310    6310
1982    1982
1565    1565
4483    4483
        ... 
6491    6491
344      344
6139    6139
142      142
6381    6381
Name: id, Length: 74, dtype: int64","@Allegedly_G We shall call it the #Impeachment Gala and celibrate for 96 hours, from #TraitorTuesday to #FuckTrump Friday, with huge parades from sea to shining sea. https://t.co/o7iiO78sVx",0,0,0,1,1,1,1,1,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"387      387
6310    6310
1982    1982
1565    1565
4483    4483
        ... 
6491    6491
344      344
6139    6139
142      142
6381    6381
Name: id, Length: 74, dtype: int64",@9NEWS Of course @HillaryClinton would support a Woman on her Knees!     That’s the only way @BillClinton will likes them!     #Clinton #DemocratsAreCorrupt #monica #cigars #clintoncrime #haiti #bleachbit #benghazi #rapist #Fakefeminist #groperinchief #imwithHer #pridemonth,0,1,1,1,1,1,1,1,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"387      387
6310    6310
1982    1982
1565    1565
4483    4483
        ... 
6491    6491
344      344
6139    6139
142      142
6381    6381
Name: id, Length: 74, dtype: int64",Oh shit! It's been a while.  I forgot Twitter was a thing!   (Said Trump never)  #potus #trump #you #dickhead,1,0,0,0,0,0,0,0,0,0,3,0,0,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"387      387
6310    6310
1982    1982
1565    1565
4483    4483
        ... 
6491    6491
344      344
6139    6139
142      142
6381    6381
Name: id, Length: 74, dtype: int64",At least they told both of you to basically fuck off ,0,3,0,0,0,0,0,1,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"387      387
6310    6310
1982    1982
1565    1565
4483    4483
        ... 
6491    6491
344      344
6139    6139
142      142
6381    6381
Name: id, Length: 74, dtype: int64",@NegarMortazavi @csdickey ”At the end of the day they (wars) are about little girls in fiberboard coffins.” #FuckTrump and US foreign policies. It’s all about others little girls in coffins.,0,3,3,1,1,1,1,1,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
38,"387      387
6310    6310
1982    1982
1565    1565
4483    4483
        ... 
6491    6491
344      344
6139    6139
142      142
6381    6381
Name: id, Length: 74, dtype: int64","Sarah Sanders is floating the idea of running for Arkansas governor, sources say #Resist #ResistTrump #FuckTrump https://t.co/L78qmZDJWu",0,0,0,1,0,0,0,0,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"5189    5189
2176    2176
5948    5948
2451    2451
3445    3445
        ... 
6491    6491
344      344
6139    6139
142      142
6381    6381
Name: id, Length: 61, dtype: int64","So #Individual1 keeps praising #KimJongUn, a #criminal #murderer #dictator as somebody with great leadership who just wrote him a 'beautiful letter' WTF!",0,0,1,1,1,1,1,1,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,"5189    5189
2176    2176
5948    5948
2451    2451
3445    3445
        ... 
6491    6491
344      344
6139    6139
142      142
6381    6381
Name: id, Length: 61, dtype: int64",#Sachin Tandolker : a Biography || #ParallelMedia | https://t.co/UHegopogBS via @YouTube  #IndiaWithDhoni  #WWESSD  #DhoniKeSaathDesh  #DhoniKeepsTheGlove  #BharatRoarsOnDay3  #Kundru  #BIGDAYSGAZEONTANHAJI  #KNACKDHANUSHBIRTHDAYIN50D   #Thiem  #SaketKumar,0,3,3,3,3,3,3,3,3,3,3,3,0,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,"5189    5189
2176    2176
5948    5948
2451    2451
3445    3445
        ... 
6491    6491
344      344
6139    6139
142      142
6381    6381
Name: id, Length: 61, dtype: int64",One of my class mate was.... I didn't doubt on their loyalty... But i am against the basic consept & foreign involvement in their religion  It is just to disgrace islam,0,1,1,1,1,1,0,1,1,1,1,1,1,"2969    2969
6429    6429
2599    2599
4304    4304
6446    6446
        ... 
951      951
6830    6830
236      236
1956    1956
515      515
Name: id, Length: 500, dtype: int64",not hate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
